onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0915	6.895	G_F	2.0	n/a	n/a	2.0	3.03	Gram/Gram_run-01/stereo_2MF57U2.wav	2.0	1	3.78
7.9964	7.175	G_F	2.0	n/a	n/a	2.0	3.886	Gram/Gram_run-01/stereo_1MF15U3.wav	2.0	1	4.636
15.1851	6.5070000000000014	G_G	1.0	n/a	n/a	1.0	3.59	Gram/Gram_run-01/stereo_1MF11G2.wav	1.0	1	2.4099999999999997
21.7065	6.505	G_C	1.0	n/a	n/a	1.0	0.23600000000000002	Gram/Gram_run-01/CoM09d.wav	1.0	1	0.986
28.2123	6.9479999999999995	G_F	2.0	n/a	n/a	2.0	4.7219999999999995	Gram/Gram_run-01/stereo_2MF68U4.wav	2.0	1	3.9960000000000004
35.1675	5.541	G_P	2.0	n/a	n/a	2.0	3.5580000000000003	Gram/Gram_run-01/stereo_1MP37U3.wav	2.0	1	2.523
40.7217	5.9479999999999995	G_G	1.0	n/a	n/a	1.0	4.595	Gram/Gram_run-01/stereo_2MF50G1.wav	1.0	1	2.5
46.6761	6.013	G_F	2.0	n/a	n/a	2.0	3.484	Gram/Gram_run-01/stereo_1MF05U1.wav	2.0	1	2.882
52.6972	7.87	G_C	1.0	n/a	n/a	1.0	0.341	Gram/Gram_run-01/CoM01l.wav	1.0	1	1.091
60.5705	6.4979999999999976	G_G	1.0	n/a	n/a	1.0	4.998	Gram/Gram_run-01/stereo_1MF23G4.wav	1.0	1	2.817
67.0753	6.184	G_F	2.0	n/a	n/a	2.0	3.926	Gram/Gram_run-01/stereo_2MF55U2.wav	2.0	1	4.676
73.264	6.83	G_C	1.0	n/a	n/a	1.0	0.06	Gram/Gram_run-01/CoM10l.wav	1.0	1	0.81
80.1023	7.505	G_G	1.0	n/a	n/a	1.0	5.002	Gram/Gram_run-01/stereo_2MP96G4.wav	1.0	1	2.607
87.6086	7.1370000000000005	G_G	1.0	n/a	n/a	1.0	5.435	Gram/Gram_run-01/stereo_1MP47G4.wav	1.0	1	2.968
94.74799999999999	6.694	G_F	2.0	n/a	n/a	2.0	2.511	Gram/Gram_run-01/stereo_2MF61U3.wav	2.0	1	3.261
101.4529	5.39	G_C	1.0	n/a	n/a	1.0	0.462	Gram/Gram_run-01/CoM01d.wav	1.0	1	1.212
106.8569	6.5760000000000005	G_G	1.0	n/a	n/a	1.0	3.448	Gram/Gram_run-01/stereo_1MP35G2.wav	1.0	1	2.444
113.4451	5.3389999999999995	G_F	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_2MF69U4.wav	n/a	0	n/a
118.7989	7.94	G_C	1.0	1.0	0.314	1.0	0.33299999999999996	Gram/Gram_run-01/CoM08l.wav	1.0	1	0.314
126.7476	6.006	G_P	2.0	n/a	n/a	2.0	4.025	Gram/Gram_run-01/stereo_1MP26U1.wav	2.0	1	2.0490000000000004
132.7683	8.422	G_F	2.0	n/a	n/a	2.0	3.642	Gram/Gram_run-01/stereo_1MF06U1.wav	2.0	1	3.0469999999999997
141.1919	7.885	G_P	2.0	n/a	n/a	2.0	3.281	Gram/Gram_run-01/stereo_2MP81U2.wav	2.0	1	2.396
149.082	6.127000000000002	G_G	1.0	n/a	n/a	1.0	4.519	Gram/Gram_run-01/stereo_2MP83G2.wav	1.0	1	3.4590000000000005
155.2198	5.765	G_C	1.0	n/a	n/a	1.0	0.131	Gram/Gram_run-01/CoM02b.wav	1.0	1	0.881
160.9908	6.706	G_P	2.0	n/a	n/a	2.0	4.627	Gram/Gram_run-01/stereo_2MP93U4.wav	2.0	1	2.2270000000000003
167.7098	6.61	G_P	2.0	n/a	n/a	2.0	4.488	Gram/Gram_run-01/stereo_1MP28U1.wav	2.0	1	2.373000000000001
174.3313	6.63	G_C	1.0	n/a	n/a	1.0	0.428	Gram/Gram_run-01/CoM04b.wav	1.0	1	1.178
180.9695	5.665	G_P	2.0	n/a	n/a	2.0	4.224	Gram/Gram_run-01/stereo_1MP27U1.wav	2.0	1	2.2220000000000004
186.6404	7.55	G_G	1.0	n/a	n/a	1.0	4.524	Gram/Gram_run-01/stereo_2MP77G1.wav	1.0	1	2.425
