onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.084	6.895	G_F	2.0	n/a	n/a	1.0	3.2030000000000003	Gram/Gram_run-01/stereo_2MF57U2.wav	1.0	0	3.9530000000000003
7.989	7.175	G_F	2.0	n/a	n/a	2.0	4.151	Gram/Gram_run-01/stereo_1MF15U3.wav	2.0	1	4.901
15.178	6.5070000000000014	G_G	1.0	n/a	n/a	1.0	3.3960000000000004	Gram/Gram_run-01/stereo_1MF11G2.wav	1.0	1	2.216
21.699	6.505	G_C	1.0	n/a	n/a	1.0	3.324	Gram/Gram_run-01/CoM09d.wav	1.0	1	4.074
28.204	6.9479999999999995	G_F	2.0	n/a	n/a	1.0	5.435	Gram/Gram_run-01/stereo_2MF68U4.wav	1.0	0	4.709
35.16	5.541	G_P	2.0	n/a	n/a	1.0	4.045	Gram/Gram_run-01/stereo_1MP37U3.wav	1.0	0	3.01
40.714	5.9479999999999995	G_G	1.0	n/a	n/a	1.0	4.149	Gram/Gram_run-01/stereo_2MF50G1.wav	1.0	1	2.0540000000000003
46.668	6.013	G_F	2.0	n/a	n/a	1.0	3.969	Gram/Gram_run-01/stereo_1MF05U1.wav	1.0	0	3.367
52.69	7.87	G_C	1.0	n/a	n/a	1.0	5.289	Gram/Gram_run-01/CoM01l.wav	1.0	1	6.039
60.562	6.4979999999999976	G_G	1.0	n/a	n/a	1.0	4.486000000000001	Gram/Gram_run-01/stereo_1MF23G4.wav	1.0	1	2.3050000000000015
67.067	6.184	G_F	2.0	n/a	n/a	2.0	4.333	Gram/Gram_run-01/stereo_2MF55U2.wav	2.0	1	5.083
73.255	6.83	G_C	1.0	n/a	n/a	1.0	0.24	Gram/Gram_run-01/CoM10l.wav	1.0	1	0.99
80.094	7.505	G_G	1.0	n/a	n/a	1.0	4.669	Gram/Gram_run-01/stereo_2MP96G4.wav	1.0	1	2.274
87.6	7.1370000000000005	G_G	1.0	n/a	n/a	1.0	4.831	Gram/Gram_run-01/stereo_1MP47G4.wav	1.0	1	2.3640000000000008
94.738	6.694	G_F	2.0	n/a	n/a	1.0	3.359	Gram/Gram_run-01/stereo_2MF61U3.wav	1.0	0	4.109
101.443	5.39	G_C	1.0	n/a	n/a	1.0	4.046	Gram/Gram_run-01/CoM01d.wav	1.0	1	4.796
106.848	6.5760000000000005	G_G	1.0	n/a	n/a	1.0	3.447	Gram/Gram_run-01/stereo_1MP35G2.wav	1.0	1	2.443
113.436	5.3389999999999995	G_F	2.0	n/a	n/a	2.0	3.659	Gram/Gram_run-01/stereo_2MF69U4.wav	2.0	1	2.9210000000000003
118.79	7.94	G_C	1.0	2.0	0.705	2.0	0.266	Gram/Gram_run-01/CoM08l.wav	2.0	0	0.705
126.746	6.006	G_P	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_1MP26U1.wav	n/a	0	n/a
132.767	8.422	G_F	2.0	n/a	n/a	1.0	1.511	Gram/Gram_run-01/stereo_1MF06U1.wav	1.0	0	0.9159999999999995
141.19	7.885	G_P	2.0	n/a	n/a	2.0	3.57	Gram/Gram_run-01/stereo_2MP81U2.wav	2.0	1	2.6849999999999996
149.08	6.1270000000000024	G_G	1.0	n/a	n/a	1.0	3.217	Gram/Gram_run-01/stereo_2MP83G2.wav	1.0	1	2.157
155.218	5.765	G_C	1.0	1.0	0.6890000000000001	1.0	0.22899999999999998	Gram/Gram_run-01/CoM02b.wav	1.0	1	0.6890000000000001
160.989	6.706	G_P	2.0	n/a	n/a	2.0	4.7	Gram/Gram_run-01/stereo_2MP93U4.wav	2.0	1	2.3000000000000007
167.71099999999996	6.61	G_P	2.0	n/a	n/a	2.0	3.91	Gram/Gram_run-01/stereo_1MP28U1.wav	2.0	1	1.7950000000000008
174.332	6.63	G_C	1.0	n/a	n/a	1.0	1.203	Gram/Gram_run-01/CoM04b.wav	1.0	1	1.953
180.971	5.665	G_P	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_1MP27U1.wav	n/a	0	n/a
186.642	7.55	G_G	1.0	n/a	n/a	1.0	3.637	Gram/Gram_run-01/stereo_2MP77G1.wav	1.0	1	1.5379999999999998
194.197	6.51	G_C	1.0	n/a	n/a	2.0	0.256	Gram/Gram_run-01/CoM03e.wav	2.0	0	1.006
200.719	6.98	G_P	2.0	n/a	n/a	2.0	4.08	Gram/Gram_run-01/stereo_2MP92U4.wav	2.0	1	1.7309999999999999
207.708	7.047999999999999	G_G	1.0	n/a	n/a	1.0	3.012	Gram/Gram_run-01/stereo_1MF12G2.wav	1.0	1	1.978
214.763	5.574	G_F	2.0	n/a	n/a	1.0	3.576	Gram/Gram_run-01/stereo_1MF04U1.wav	1.0	0	2.988
220.351	5.67	G_C	1.0	n/a	n/a	1.0	0.368	Gram/Gram_run-01/CoM07d.wav	1.0	1	1.1179999999999999
226.022	6.6160000000000005	G_P	2.0	n/a	n/a	2.0	2.7960000000000003	Gram/Gram_run-01/stereo_1MP39U3.wav	2.0	1	1.7920000000000003
232.643	5.695	G_P	2.0	n/a	n/a	2.0	2.6660000000000004	Gram/Gram_run-01/stereo_2MP82U2.wav	2.0	1	1.7450000000000006
238.348	6.6270000000000024	G_F	2.0	n/a	n/a	1.0	3.4410000000000003	Gram/Gram_run-01/stereo_1MF13U3.wav	1.0	0	4.191000000000001
244.986	7.145	G_C	1.0	2.0	0.575	1.0	0.139	Gram/Gram_run-01/CoM08e.wav	2.0	0	0.575
252.142	6.805	G_G	1.0	n/a	n/a	1.0	3.502	Gram/Gram_run-01/stereo_1MP41G3.wav	1.0	1	2.1959999999999997
258.947	7.519	G_P	2.0	n/a	n/a	2.0	3.722	Gram/Gram_run-01/stereo_1MP38U3.wav	2.0	1	2.4829999999999997
