onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0924	3.5	P_R	1.0	n/a	n/a	1.0	1.689	Phon/Phon_run-02/stereo_PR20.wav	1.0	1	1.439
4.595	4.235	P_O	1.0	n/a	n/a	1.0	1.327	Phon/Phon_run-02/PC034.wav	1.0	1	1.077
8.8325	3.375	P_R	1.0	n/a	n/a	2.0	1.111	Phon/Phon_run-02/stereo_PR13.wav	2.0	0	0.861
12.2183	3.474	P_C	1.0	1.0	0.6829999999999999	1.0	0.9840000000000001	Phon/Phon_run-02/ContS12.wav	1.0	1	0.6829999999999999
15.7041	3.875	P_U	2.0	n/a	n/a	1.0	1.329	Phon/Phon_run-02/PM025.wav	1.0	0	1.079
19.5903	3.726	P_R	1.0	n/a	n/a	1.0	1.101	Phon/Phon_run-02/stereo_PR22.wav	1.0	1	0.851
23.3263	3.451	P_O	1.0	n/a	n/a	1.0	1.2819999999999998	Phon/Phon_run-02/PC014.wav	1.0	1	1.0319999999999998
26.7799	3.779	P_C	1.0	n/a	n/a	1.0	0.691	Phon/Phon_run-02/ContS02.wav	1.0	1	1.4409999999999998
30.566	3.821	P_U	2.0	n/a	n/a	1.0	1.113	Phon/Phon_run-02/stereo_PU18.wav	1.0	0	0.863
34.402	3.49	P_U	2.0	n/a	n/a	1.0	1.228	Phon/Phon_run-02/stereo_PU12.wav	1.0	0	0.978
37.9046	4.38	P_C	1.0	1.0	0.669	1.0	0.934	Phon/Phon_run-02/ContS32.wav	1.0	1	0.669
42.291000000000004	4.0969999999999995	P_R	1.0	n/a	n/a	1.0	1.493	Phon/Phon_run-02/stereo_PR16.wav	1.0	1	1.243
46.394	3.5	P_O	1.0	n/a	n/a	1.0	1.24	Phon/Phon_run-02/PC022.wav	1.0	1	0.99
49.8966	4.0760000000000005	P_R	1.0	n/a	n/a	1.0	0.963	Phon/Phon_run-02/stereo_PR08.wav	1.0	1	0.713
53.983000000000004	3.5	P_O	1.0	n/a	n/a	1.0	1.117	Phon/Phon_run-02/PC028.wav	1.0	1	0.867
57.4856	3.5	P_U	2.0	n/a	n/a	2.0	1.587	Phon/Phon_run-02/stereo_PU27.wav	2.0	1	1.337
60.9881	3.819	P_C	1.0	1.0	0.525	1.0	0.264	Phon/Phon_run-02/ContS06.wav	1.0	1	0.525
64.8086	4.25	P_O	1.0	1.0	0.45299999999999996	1.0	0.46399999999999997	Phon/Phon_run-02/PC031.wav	1.0	1	0.21400000000000002
69.062	3.662	P_C	1.0	1.0	0.5870000000000001	1.0	1.162	Phon/Phon_run-02/ContS36.wav	1.0	1	0.5870000000000001
72.7312	3.823	P_O	1.0	n/a	n/a	1.0	1.183	Phon/Phon_run-02/PC023.wav	1.0	1	0.933
76.5674	4.323	P_C	1.0	1.0	0.715	1.0	1.0390000000000001	Phon/Phon_run-02/ContS24.wav	1.0	1	0.715
80.9038	3.865	P_U	2.0	1.0	0.512	1.0	1.5	Phon/Phon_run-02/PM004.wav	1.0	0	1.25
84.7733	3.875	P_O	1.0	n/a	n/a	1.0	1.252	Phon/Phon_run-02/PC007.wav	1.0	1	1.002
88.6594	4.25	P_U	2.0	n/a	n/a	1.0	1.402	Phon/Phon_run-02/PM011.wav	1.0	0	1.152
92.9126	4.362	P_C	1.0	n/a	n/a	1.0	0.042	Phon/Phon_run-02/ContS30.wav	1.0	1	0.792
97.2825	3.875	P_O	1.0	n/a	n/a	1.0	1.6669999999999998	Phon/Phon_run-02/PC030.wav	1.0	1	1.4169999999999998
101.1687	3.3360000000000003	P_R	1.0	n/a	n/a	1.0	1.146	Phon/Phon_run-02/stereo_PR05.wav	1.0	1	0.8959999999999999
104.5077	4.113	P_U	2.0	1.0	0.037000000000000005	1.0	2.296	Phon/Phon_run-02/stereo_PU01.wav	1.0	0	2.046
108.6273	4.1739999999999995	P_U	2.0	1.0	0.715	n/a	n/a	Phon/Phon_run-02/PM029.wav	n/a	0	n/a
112.8137	3.4539999999999997	P_C	1.0	n/a	n/a	1.0	0.192	Phon/Phon_run-02/ContS08.wav	1.0	1	0.942
116.2828	3.446	P_R	1.0	n/a	n/a	1.0	1.37	Phon/Phon_run-02/stereo_PR30.wav	1.0	1	1.12
119.7352	3.85	P_R	1.0	n/a	n/a	1.0	1.395	Phon/Phon_run-02/stereo_PR07.wav	1.0	1	1.145
123.588	3.438	P_U	2.0	n/a	n/a	1.0	1.84	Phon/Phon_run-02/stereo_PU02.wav	1.0	0	1.59
127.0406	3.915	P_C	1.0	n/a	n/a	1.0	0.09	Phon/Phon_run-02/ContS20.wav	1.0	1	0.84
130.9601	3.487	P_U	2.0	n/a	n/a	1.0	1.14	Phon/Phon_run-02/PM021.wav	1.0	0	0.8899999999999999
