bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-5002_ses-5_task-Gram_acq-D1S11_run-01_bold	0.023295505	0.039253746	0	123.1560893	1.218832299	1.280027237	0.440098305	964.3192749	1.274305523	173	79.35779817	3.572064394	3.265155	3.640355	3.810683183	0.0706541	-0.020774249	0.018613856	218	128	128	56	1.998837479	1.25	2	2	2.000000954	62.4987122	47.03938767	340.9269104	226.2068939	658963	180.1980469	748.4196533	440.4715576	1.54765778	2998.694018	8376.958984	7434.024414	159456	4210.479004	15891.57397	3719.162354	11.53625774
sub-5002_ses-5_task-Gram_acq-D1S9_run-02_bold	0.029490688	0.026429361	0	93.79954771	1.274802705	1.526996952	0.436479148	1028.470337	0.821996703	153	70.18348624	3.443202756	3.1577	3.53957	3.632338268	0.0809011	-0.016421013	0.016757442	218	128	128	56	2.061290323	1.25	2	2	2.000000954	75.61454511	39.51154368	321.0559387	219.3679352	658383	181.5244034	645.3475708	423.2186584	1.542879423	2955.453142	8311.40625	7433.376953	159169	4206.297754	15467.8127	3606.165283	13.85416794
sub-5002_ses-5_task-Phon_acq-D1S4_run-02_bold	0.037991899	0.040757217	0	115.8859382	1.343665812	2.014105535	0.429250117	999.0088501	1.571487842	89	56.32911392	3.409982779	3.13279	3.6086	3.488558337	0.0924912	-0.008314174	0.02234485	158	128	128	56	2.232057479	1.25	2	2	2.000000954	92.67778582	51.57243671	279.9024658	217.3686981	663581	17.43224716	584.6807251	338.1940613	1.894362189	2771.218099	7979.196777	7273.261719	155354	4227.989014	14308.11396	3258.5354	11.474823
sub-5002_ses-5_task-Phon_acq-D1S6_run-01_bold	0.009319367	0.01236318	0	67.75441256	1.191018685	1.083615844	0.438857897	1002.992249	0.236644017	37	23.41772152	3.320266108	3.03462	3.413545	3.512633325	0.0288042	-0.017478837	0.015755134	158	128	128	56	2.089135707	1.25	2	2	2.000000954	79.77124996	37.24988304	323.5244141	221.6726379	659524	190.8451805	644.100235	413.743866	1.544718956	2913.703918	8295.177734	7418.512695	158374	4229.776636	15325.20537	3550.984863	22.87770462
sub-5003_ses-5_task-Gram_acq-D1S5_run-02_bold	0.020380283	0.024832861	0	98.07504348	1.266946179	1.140980549	0.449597741	1334.253296	0.989665201	178	83.96226415	3.45043	3.046975	3.51611	3.788205	0.0522689	-0.014846441	0.02759386	212	128	128	56	2.049533228	1.25	2	2	2	132.5844278	49.5007277	286.5068665	202.5821381	630338	159.056823	541.9144135	346.8913269	1.580590133	3496.356093	8635.189453	7844.036621	185690	4086.833728	15996.62866	3827.220459	15.02490616
sub-5003_ses-5_task-Gram_acq-D1S7_run-01_bold	0.032548821	0.040669295	0	120.3206906	1.326116627	1.219642614	0.465754829	898.0404053	1.580046755	185	87.26415094	3.43538	3.06175	3.624055	3.620335	0.105522	-0.016868787	0.028740939	212	128	128	56	2.195876644	1.25	2	2	2	119.9482574	51.5777983	350.5287476	261.4181519	628423	216.7207932	618.6287903	357.0298157	1.498860891	3507.820923	8880.743164	8276.014648	187933	4085.011865	16011.96016	3768.878662	12.04245377
sub-5003_ses-5_task-Phon_acq-D1S13_run-01_bold	0.001539013	0.00632794	0	52.86596038	1.208013638	1.054427109	0.461246505	993.9113159	0.183601573	53	34.86842105	3.192808333	2.87619	3.31904	3.383195	0.00764841	-0.016101899	0.024010258	152	128	128	56	2.148690584	1.25	2	2	2	132.1191515	37.7845709	342.4658203	252.8182068	629181	222.2302856	578.5737915	412.5129089	1.631839391	3581.468898	9099.511719	8429.543945	187101	4205.57959	16561.46875	3923.096924	34.08467484
sub-5003_ses-5_task-Phon_acq-D1S9_run-02_bold	0.021655811	0.024188159	4	90.95187663	1.24020198	1.127905311	0.465652798	884.5097046	0.93806241	120	81.08108108	3.376711667	3.00721	3.512275	3.61065	0.0791084	-0.017723879	0.029998867	148	128	128	56	2.147234423	1.25	2	2	2	103.8104389	51.79805305	360.5600281	264.6178589	628684	221.5334213	662.0228882	390.0195007	1.453104909	3578.962663	8973.680664	8313.023438	187691	4146.472168	16361.73438	3871.492188	15.74015999
sub-5003_ses-7_task-Gram_acq-D1S3_run-01_bold	0.001529037	0.008515151	0	57.88236595	1.203050857	1.001448745	0.452805619	1639.885132	0.305771813	159	72.93577982	3.33766	2.95477	3.446355	3.611855	0.00711365	-0.017705923	0.021978978	218	128	128	56	2.014450925	1.25	2	2	2	109.0827367	3.5228798	26.01842308	16.80275154	623469	14.09174252	52.44036484	41.10644913	0.953436327	337.455205	784.9213867	724.4816284	192028	322.3869171	1472.823602	359.6412964	29.12091538
sub-5003_ses-7_task-Gram_acq-D1S5_run-02_bold	0.001536927	0.008455501	0	56.29464732	1.195370965	1.032352013	0.452558116	1639.972534	0.313093721	159	72.93577982	3.367156667	2.984105	3.483955	3.63341	0.00452349	-0.017306419	0.021566985	218	128	128	56	1.997384548	1.25	2	2	2	104.138847	3.488875033	25.99435997	16.78440285	622718	14.02752209	53.050457	40.5978241	1.007376832	338.57055	784.8461304	722.93573	192866	320.6823349	1475.943726	361.9402466	28.93199385
