onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0934	7.632999999999999	G_P	2.0	n/a	n/a	1.0	3.699	Gram/Gram_run-02/stereo_1MP45U4.wav	1.0	0	1.5679999999999996
8.7323	7.315	G_F	2.0	n/a	n/a	2.0	3.65	Gram/Gram_run-02/stereo_1MF20U4.wav	2.0	1	2.9399999999999995
16.0543	6.2829999999999995	G_P	2.0	n/a	n/a	1.0	2.952	Gram/Gram_run-02/stereo_1MP34U2.wav	1.0	0	1.8599999999999999
22.3421	6.195	G_C	1.0	n/a	n/a	1.0	0.019	Gram/Gram_run-02/CoM06d.wav	1.0	1	0.769
28.5465	6.221	G_G	1.0	n/a	n/a	1.0	4.39	Gram/Gram_run-02/stereo_1MF02G1.wav	1.0	1	2.3499999999999996
34.769	5.801	G_F	2.0	n/a	n/a	2.0	3.903	Gram/Gram_run-02/stereo_2MF64U3.wav	2.0	1	4.6530000000000005
40.5743	6.78	G_C	1.0	n/a	n/a	1.0	0.342	Gram/Gram_run-02/CoM07l.wav	1.0	1	1.092
47.3625	6.084	G_F	2.0	n/a	n/a	1.0	2.637	Gram/Gram_run-02/stereo_2MF56U2.wav	1.0	0	3.387
53.4512	7.5470000000000015	G_F	2.0	n/a	n/a	1.0	3.946	Gram/Gram_run-02/stereo_1MF21U4.wav	1.0	0	3.1950000000000003
61.0065	6.482	G_G	1.0	n/a	n/a	1.0	3.723	Gram/Gram_run-02/stereo_1MF24G4.wav	1.0	1	1.362
67.4946	6.7810000000000015	G_P	2.0	n/a	n/a	1.0	3.71	Gram/Gram_run-02/stereo_2MP76U1.wav	1.0	0	1.4480000000000004
74.2828	6.643	G_P	2.0	n/a	n/a	1.0	2.4659999999999997	Gram/Gram_run-02/stereo_2MP80U2.wav	1.0	0	1.5099999999999998
80.9376	7.69	G_C	1.0	n/a	n/a	1.0	0.08199999999999999	Gram/Gram_run-02/CoM06e.wav	1.0	1	0.832
88.639	6.352	G_F	2.0	n/a	n/a	1.0	2.49	Gram/Gram_run-02/stereo_2MF63U3.wav	1.0	0	3.24
94.9947	5.801	G_G	1.0	n/a	n/a	1.0	3.068	Gram/Gram_run-02/stereo_1MF18G3.wav	1.0	1	1.685
100.8001	7.1129999999999995	G_P	2.0	n/a	n/a	1.0	3.915	Gram/Gram_run-02/stereo_1MP44U4.wav	1.0	0	1.5579999999999998
107.9218	6.78	G_C	1.0	n/a	n/a	1.0	1.632	Gram/Gram_run-02/CoM05b.wav	1.0	1	2.3819999999999997
114.7101	6.7360000000000015	G_F	2.0	n/a	n/a	1.0	2.69	Gram/Gram_run-02/stereo_2MF58U2.wav	1.0	0	3.44
