participant_id	run_name	quality_score
5005	sub-5005_ses-9_acq-D1S2_T1w	0.29518220
5007	sub-5007_ses-9_acq-D1S2_T1w	0.58502830
5007	sub-5007_ses-9_acq-D1S6_T1w	-1.02428700
5008	sub-5008_ses-9_acq-D1S2_T1w	0.06463532
5009	sub-5009_ses-9_acq-D1S11_T1w	-1.05831400
5009	sub-5009_ses-9_acq-D1S2_T1w	0.65532340
5010	sub-5010_ses-9_acq-D1S2_T1w	2.37530500
5011	sub-5011_ses-9_acq-D1S2_T1w	0.46313380
5015	sub-5015_ses-9_acq-D1S2_T1w	0.12535030
5015	sub-5015_ses-9_acq-D1S5_T1w	3.32074000
5018	sub-5018_ses-9_acq-D1S2_T1w	-1.69526000
5018	sub-5018_ses-9_acq-D1S9_T1w	-0.00949007
5020	sub-5020_ses-9_acq-D2S2_T1w	0.97411810
5021	sub-5021_ses-9_acq-D1S2_T1w	0.12051190
5022	sub-5022_ses-9_acq-D1S11_T1w	0.48609990
5022	sub-5022_ses-9_acq-D1S2_T1w	3.22955700
5023	sub-5023_ses-9_acq-D1S13_T1w	-0.95293020
5023	sub-5023_ses-9_acq-D1S2_T1w	-1.39012300
5023	sub-5023_ses-9_acq-D2S2_T1w	1.37001200
5023	sub-5023_ses-9_acq-D2S6_T1w	0.14835850
5024	sub-5024_ses-9_acq-D1S2_T1w	1.98919100
5025	sub-5025_ses-9_acq-D1S11_T1w	-0.90858440
5025	sub-5025_ses-9_acq-D1S2_T1w	-5.16239600
5029	sub-5029_ses-9_acq-D1S2_T1w	-5.42290700
5032	sub-5032_ses-9_acq-D1S2_T1w	1.53436900
5034	sub-5034_ses-9_acq-D1S14_T1w	0.37648150
5034	sub-5034_ses-9_acq-D1S2_T1w	1.46503000
5036	sub-5036_ses-9_acq-D1S2_T1w	-0.20214560
5040	sub-5040_ses-9_acq-D1S2_T1w	-0.36866650
5042	sub-5042_ses-9_acq-D1S2_T1w	-6.33457500
5042	sub-5042_ses-9_acq-D1S7_T1w	-2.25428000
5043	sub-5043_ses-9_acq-D1S2_T1w	-1.54647400
5043	sub-5043_ses-9_acq-D1S7_T1w	-1.88303300
5044	sub-5044_ses-9_acq-D1S13_T1w	-0.97740470
5044	sub-5044_ses-9_acq-D1S2_T1w	1.16926500
5046	sub-5046_ses-9_acq-D1S2_T1w	-0.60549720
5048	sub-5048_ses-9_acq-D1S2_T1w	2.86841300
5054	sub-5054_ses-9_acq-D1S11_T1w	0.82040670
5054	sub-5054_ses-9_acq-D1S2_T1w	1.26539600
5055	sub-5055_ses-9_acq-D1S2_T1w	2.44988100
5058	sub-5058_ses-9_acq-D1S2_T1w	1.81885200
5061	sub-5061_ses-9_acq-D1S2_T1w	1.14960800
5063	sub-5063_ses-9_acq-D1S2_T1w	1.81728300
5069	sub-5069_ses-9_acq-D1S2_T1w	-0.62223540
5070	sub-5070_ses-9_acq-D1S2_T1w	-0.94500610
5074	sub-5074_ses-9_acq-D1S2_T1w	-2.14109900
5074	sub-5074_ses-9_acq-D1S3_T1w	-0.25997590
5090	sub-5090_ses-9_acq-D1S2_T1w	-2.66158200
5091	sub-5091_ses-9_acq-D1S2_T1w	1.98053700
5091	sub-5091_ses-9_acq-D1S3_T1w	2.89942600
5103	sub-5103_ses-9_acq-D1S2_T1w	5.90350100
5104	sub-5104_ses-9_acq-D1S2_T1w	3.62836600
5109	sub-5109_ses-9_acq-D1S2_T1w	4.30534500
5120	sub-5120_ses-9_acq-D1S11_T1w	-1.25333100
5120	sub-5120_ses-9_acq-D1S2_T1w	-0.09525780
5121	sub-5121_ses-9_acq-D1S2_T1w	-1.81459300
5121	sub-5121_ses-9_acq-D1S3_T1w	0.82644360
5121	sub-5121_ses-9_acq-D2S2_T1w	-1.81751300
5125	sub-5125_ses-9_acq-D1S13_T1w	2.32862700
5125	sub-5125_ses-9_acq-D1S2_T1w	1.73862300
5126	sub-5126_ses-9_acq-D1S11_T1w	-2.59397700
5126	sub-5126_ses-9_acq-D1S2_T1w	-1.46328400
5136	sub-5136_ses-9_acq-D1S2_T1w	0.18307990
5136	sub-5136_ses-9_acq-D1S3_T1w	1.16980400
5140	sub-5140_ses-9_acq-D1S2_T1w	-0.00271394
5147	sub-5147_ses-9_acq-D1S11_T1w	3.24385400
5147	sub-5147_ses-9_acq-D1S2_T1w	3.53040100
5149	sub-5149_ses-9_acq-D1S2_T1w	-0.77990230
5151	sub-5151_ses-9_acq-D1S2_T1w	3.58153000
5153	sub-5153_ses-9_acq-D1S2_T1w	-3.26186200
5157	sub-5157_ses-9_acq-D1S11_T1w	1.57851600
5157	sub-5157_ses-9_acq-D1S2_T1w	2.02831700
5158	sub-5158_ses-9_acq-D1S2_T1w	-1.47483100
5161	sub-5161_ses-9_acq-D1S2_T1w	2.06350200
5162	sub-5162_ses-9_acq-D1S2_T1w	-1.45742600
5163	sub-5163_ses-9_acq-D1S15_T1w	3.34553600
5163	sub-5163_ses-9_acq-D1S2_T1w	5.43194400
5166	sub-5166_ses-9_acq-D1S2_T1w	1.24560600
5169	sub-5169_ses-9_acq-D1S13_T1w	4.15543100
5169	sub-5169_ses-9_acq-D1S2_T1w	4.21327300
5186	sub-5186_ses-9_acq-D1S2_T1w	5.01864200
5187	sub-5187_ses-9_acq-D1S2_T1w	-0.04710831
5192	sub-5192_ses-9_acq-D1S2_T1w	2.71352400
5200	sub-5200_ses-9_acq-D1S2_T1w	-1.54144300
5201	sub-5201_ses-9_acq-D1S2_T1w	2.22790800
5213	sub-5213_ses-9_acq-D1S11_T1w	-0.53054440
5213	sub-5213_ses-9_acq-D1S2_T1w	-0.14095640
5213	sub-5213_ses-9_acq-D2S2_T1w	3.65789500
5215	sub-5215_ses-9_acq-D1S2_T1w	2.75952500
5217	sub-5217_ses-9_acq-D1S2_T1w	1.24985200
5222	sub-5222_ses-9_acq-D1S2_T1w	1.65239600
5222	sub-5222_ses-9_acq-D1S3_T1w	1.58775200
5226	sub-5226_ses-9_acq-D1S2_T1w	1.05727500
5227	sub-5227_ses-9_acq-D1S2_T1w	2.91004900
5229	sub-5229_ses-9_acq-D1S2_T1w	1.12859800
5231	sub-5231_ses-9_acq-D1S2_T1w	2.20196600
5233	sub-5233_ses-9_acq-D1S2_T1w	2.39494100
5244	sub-5244_ses-9_acq-D1S2_T1w	3.17516400
5246	sub-5246_ses-9_acq-D1S2_T1w	7.15013600
5258	sub-5258_ses-9_acq-D1S2_T1w	-9.84558700
