participant_id	run_name	num_repaired	chunks	shifted_date_of_acq	cond1	acc1	rt1	cond2	acc2	rt2	cond3	acc3	rt3	cond4	acc4	rt4
5005	sub-5005_ses-9_task-Gram_acq-D1S7_run-02_bold	0	0	1818-04-29	G_C	0.8	1.85125	G_F	0.9	4.023889	G_G	0.5	2.251	G_P	1	2.0679
5005	sub-5005_ses-9_task-Gram_acq-D1S9_run-01_bold	0	0	1818-04-29	G_C	0.8	1.15275	G_F	0.8	3.929125	G_G	0.2	2.2665	G_P	1	2.4177
5005	sub-5005_ses-9_task-Phon_acq-D1S11_run-02_bold	0	0	1818-04-29	P_C	0.9167	1.553091	P_O	0.75	1.566111	P_R	0.9167	1.508364	P_U	0.8333	1.6477
5005	sub-5005_ses-9_task-Phon_acq-D1S13_run-01_bold	5	0	1818-04-29	P_C	1	1.323273	P_O	0.4167	1.5912	P_R	0.75	1.622222	P_U	0.9167	1.823909
5005	sub-5005_ses-9_task-Plaus_acq-D2S2_run-01_bold	6	0	1818-05-21	SP_C	1	1.3339	SP_I	0.9	1.899889	SP_S	1	1.9757	SP_W	1	2.4397
5005	sub-5005_ses-9_task-Plaus_acq-D2S4_run-02_bold	4	0	1818-05-21	SP_C	1	1.6804	SP_I	0.9	1.848111	SP_S	1	1.699	SP_W	0.9	2.140222
5005	sub-5005_ses-9_task-Sem_acq-D2S6_run-01_bold	2	0	1818-05-21	S_C	1	1.24775	S_H	0.9167	1.384455	S_L	0.9167	1.292455	S_U	0.9167	1.438727
5005	sub-5005_ses-9_task-Sem_acq-D2S8_run-02_bold	0	0	1818-05-21	S_C	1	1.285636	S_H	1	1.672833	S_L	1	1.377167	S_U	0.8333	1.7505
5007	sub-5007_ses-9_task-Gram_acq-D1S11_run-01_bold	0	0	1819-03-01	G_C	0.9	2.819222	G_F	0.4	4.12725	G_G	0.8	2.188875	G_P	0.2	2.318
5007	sub-5007_ses-9_task-Gram_acq-D1S13_run-02_bold	0	0	1819-03-01	G_C	0.9	2.624778	G_F	0.3	3.747667	G_G	0.8	1.963	G_P	0.8	2.41425
5007	sub-5007_ses-9_task-Gram_acq-D1S15_run-01_bold	34	1	1819-03-01	G_C	0.7	2.532714	G_F	0	n/a	G_G	1	2.1719	G_P	0.1	2.034
5007	sub-5007_ses-9_task-Phon_acq-D1S7_run-01_bold	7	0	1819-03-01	P_C	0.9167	1.815364	P_O	0.75	1.497556	P_R	0.8333	1.3098	P_U	0.6667	1.6045
5007	sub-5007_ses-9_task-Phon_acq-D1S9_run-02_bold	5	0	1819-03-01	P_C	0.75	1.9365	P_O	0.8333	1.5596	P_R	0.8333	1.3902	P_U	0.5	1.373833
