participant_id	run_name	num_repaired	chunks	shifted_date_of_acq	cond1	acc1	rt1	cond2	acc2	rt2	cond3	acc3	rt3	cond4	acc4	rt4
5003	sub-5003_ses-7_task-Gram_acq-D1S3_run-01_bold	0	0	1816-03-11	G_C	1	0.8215	G_F	0.8	3.35	G_G	1	2.1177	G_P	1	2.129
5003	sub-5003_ses-7_task-Gram_acq-D1S5_run-02_bold	0	0	1816-03-11	G_C	1	0.8737	G_F	1	3.4379	G_G	1	1.9137	G_P	1	2.022
5003	sub-5003_ses-7_task-Phon_acq-D1S7_run-01_bold	4	0	1816-03-11	P_C	0.9167	0.622909	P_O	0.9167	1.031636	P_R	1	0.964	P_U	1	1.019167
5003	sub-5003_ses-7_task-Phon_acq-D1S9_run-02_bold	0	0	1816-03-11	P_C	1	0.662167	P_O	1	0.932667	P_R	1	0.94	P_U	0.9167	1.0926
5003	sub-5003_ses-7_task-Plaus_acq-D2S6_run-01_bold	0	0	1817-01-05	SP_C	1	0.6743	SP_I	1	1.3252	SP_S	0.9	1.268111	SP_W	0.5	1.399
5003	sub-5003_ses-7_task-Plaus_acq-D2S8_run-02_bold	2	0	1817-01-05	SP_C	1	0.5483	SP_I	1	1.3173	SP_S	1	1.2831	SP_W	0.6	1.4435
5003	sub-5003_ses-7_task-Sem_acq-D2S2_run-01_bold	0	0	1817-01-05	S_C	1	0.882545	S_H	1	0.873333	S_L	1	0.831333	S_U	1	1.050583
5003	sub-5003_ses-7_task-Sem_acq-D2S4_run-02_bold	0	0	1817-01-05	S_C	1	0.702091	S_H	1	0.796167	S_L	0.75	0.851333	S_U	1	0.941583
5004	sub-5004_ses-7_task-Gram_acq-D1S3_run-02_bold	4	0	1816-08-08	G_C	1	1.864778	G_F	0.5	4.022	G_G	0.7	2.497714	G_P	1	2.0903
5004	sub-5004_ses-7_task-Gram_acq-D1S5_run-01_bold	2	0	1816-08-08	G_C	1	2.2695	G_F	0.5	3.4736	G_G	0.8	2.622125	G_P	0.8	2.105375
