participant_id	run_name	num_repaired	chunks	shifted_date_of_acq	cond1	acc1	rt1	cond2	acc2	rt2	cond3	acc3	rt3	cond4	acc4	rt4
5002	sub-5002_ses-5_task-Gram_acq-D1S11_run-01_bold	48	1	1815-03-06	G_C	0.3	1.578667	G_F	0.4	4.25325	G_G	0.4	3.01075	G_P	0.2	3.124
5002	sub-5002_ses-5_task-Gram_acq-D1S9_run-02_bold	30	1	1815-03-06	G_C	0.4	2.88375	G_F	0.8	4.64575	G_G	0.3	2.657333	G_P	0.4	3.02525
5002	sub-5002_ses-5_task-Phon_acq-D1S4_run-02_bold	38	1	1815-03-06	P_C	0.8333	1.693	P_O	0.1667	1.1795	P_R	0.3333	1.41325	P_U	0.4167	1.7042
5002	sub-5002_ses-5_task-Phon_acq-D1S6_run-01_bold	4	0	1815-03-06	P_C	0.3333	1.103	P_O	0	n/a	P_R	0.3333	1.854	P_U	0.9167	1.375636
5003	sub-5003_ses-5_task-Gram_acq-D1S5_run-02_bold	37	0	1814-07-08	G_C	1	2.2025	G_F	0.5	3.8112	G_G	0.8	2.821625	G_P	0.8	2.35975
5003	sub-5003_ses-5_task-Gram_acq-D1S7_run-01_bold	77	4	1814-07-08	G_C	1	1.434	G_F	0.6	3.4414	G_G	0.9	2.500556	G_P	0.9	2.306556
5003	sub-5003_ses-5_task-Phon_acq-D1S13_run-01_bold	0	0	1814-07-08	P_C	1	1.528182	P_O	0.9167	1.334636	P_R	0.8333	1.0995	P_U	0.8333	1.4518
5003	sub-5003_ses-5_task-Phon_acq-D1S9_run-02_bold	35	2	1814-07-08	P_C	1	1.528083	P_O	0.8333	1.4801	P_R	0.8333	1.2653	P_U	0.9167	1.611818
5004	sub-5004_ses-5_task-Phon_acq-D1S4_run-01_bold	12	0	1814-10-24	P_C	0.8333	1.7686	P_O	0.3333	1.4185	P_R	0.3333	1.84575	P_U	0.3333	1.21375
5004	sub-5004_ses-5_task-Phon_acq-D1S6_run-02_bold	2	0	1814-10-24	P_C	0.8333	1.310222	P_O	0.5	0.977833	P_R	0.5	1.201	P_U	0.6667	0.895375
5004	sub-5004_ses-5_task-Phon_acq-D1S8_run-01_bold	0	0	1814-10-24	P_C	0.5833	1.463286	P_O	0.4167	0.801	P_R	0.1667	1.043	P_U	0.3333	0.959
5004	sub-5004_ses-5_task-Sem_acq-D1S12_run-01_bold	0	0	1814-10-24	S_C	0.9167	1.5898	S_H	0.6667	1.134875	S_L	0.8333	1.3104	S_U	0.1667	0.9585
5004	sub-5004_ses-5_task-Sem_acq-D1S14_run-02_bold	0	0	1814-10-24	S_C	1	1.709833	S_H	0.5833	1.355429	S_L	0.4167	1.2928	S_U	0.25	1.150333
5006	sub-5006_ses-5_task-Gram_acq-D1S14_run-02_bold	35	0	1815-02-05	G_C	0.9	1.84475	G_F	0.6	3.797833	G_G	0.4	2.07275	G_P	0.8	2.227125
5006	sub-5006_ses-5_task-Gram_acq-D1S6_run-01_bold	5	0	1815-02-05	G_C	1	1.389	G_F	0.5	3.8992	G_G	0.9	2.794444	G_P	0.9	2.484333
5006	sub-5006_ses-5_task-Gram_acq-D1S8_run-02_bold	7	0	1815-02-05	G_C	1	1.481	G_F	0.8	4.036375	G_G	0.8	2.605375	G_P	1	2.5904
5006	sub-5006_ses-5_task-Phon_acq-D1S10_run-01_bold	6	0	1815-02-05	P_C	0.9167	1.7149	P_O	0.9167	1.448636	P_R	1	1.37425	P_U	1	1.432667
5006	sub-5006_ses-5_task-Phon_acq-D1S12_run-02_bold	1	0	1815-02-05	P_C	0.9167	1.333818	P_O	0.75	1.663889	P_R	0.75	1.413667	P_U	0.8333	1.4229
5006	sub-5006_ses-5_task-Plaus_acq-D2S11_run-01_bold	0	0	1815-02-19	SP_C	0.9	1.80025	SP_I	0.8	2.420375	SP_S	0.8	1.69475	SP_W	0.8	1.82675
5006	sub-5006_ses-5_task-Plaus_acq-D2S9_run-02_bold	1	0	1815-02-19	SP_C	1	2.4654	SP_I	0.5	2.5542	SP_S	1	1.8239	SP_W	0.8	1.954875
5006	sub-5006_ses-5_task-Sem_acq-D2S3_run-02_bold	2	0	1815-02-19	S_C	1	1.483167	S_H	1	1.522333	S_L	0.6667	1.755	S_U	1	1.71
5006	sub-5006_ses-5_task-Sem_acq-D2S7_run-01_bold	2	0	1815-02-19	S_C	0.9167	2.027818	S_H	0.9167	1.467636	S_L	0.9167	1.655182	S_U	0.75	1.779667
5007	sub-5007_ses-5_task-Phon_acq-D1S4_run-02_bold	0	0	1815-01-16	P_C	1	1.698455	P_O	0.6667	1.643	P_R	0.5833	1.609857	P_U	0.4167	1.51675
5007	sub-5007_ses-5_task-Phon_acq-D1S6_run-01_bold	30	0	1815-01-16	P_C	0.3333	1.8085	P_O	0.4167	1.4872	P_R	0.25	1.957333	P_U	0.4167	2.06
5008	sub-5008_ses-5_task-Gram_acq-D1S4_run-01_bold	11	0	1814-06-27	G_C	0.9	1.636222	G_F	0.4	3.921	G_G	0.8	2.837125	G_P	0.9	2.338
5008	sub-5008_ses-5_task-Gram_acq-D1S6_run-02_bold	5	0	1814-06-27	G_C	1	1.6768	G_F	0.7	3.691714	G_G	0.5	2.2746	G_P	0.8	2.494375
5008	sub-5008_ses-5_task-Phon_acq-D1S10_run-01_bold	0	0	1814-06-27	P_C	0.8333	1.4635	P_O	0.75	1.754556	P_R	0.6667	1.22275	P_U	0.75	1.436111
5008	sub-5008_ses-5_task-Phon_acq-D1S12_run-02_bold	0	0	1814-06-27	P_C	1	1.407917	P_O	0.6667	1.695	P_R	0.9167	1.459909	P_U	0.8333	1.4962
5008	sub-5008_ses-5_task-Plaus_acq-D2S11_run-02_bold	4	0	1814-07-18	SP_C	0.7	3.511429	SP_I	0.7	2.466429	SP_S	0.4	2.34675	SP_W	0.5	2.2916
5008	sub-5008_ses-5_task-Plaus_acq-D2S7_run-02_bold	7	0	1814-07-18	SP_C	0.8	3.084375	SP_I	0.6	2.437833	SP_S	0.6	2.205833	SP_W	0.5	2.2832
