onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.084	6.895	G_F	2.0	n/a	n/a	2.0	3.115	Gram/Gram_run-01/stereo_2MF57U2.wav	2.0	1	3.865
7.989	7.175	G_F	2.0	n/a	n/a	2.0	2.251	Gram/Gram_run-01/stereo_1MF15U3.wav	2.0	1	3.001
15.177999999999999	6.5070000000000014	G_G	1.0	n/a	n/a	1.0	2.8539999999999996	Gram/Gram_run-01/stereo_1MF11G2.wav	1.0	1	1.674
21.7	6.505	G_C	1.0	n/a	n/a	1.0	0.27699999999999997	Gram/Gram_run-01/CoM09d.wav	1.0	1	1.0270000000000001
28.205	6.9479999999999995	G_F	2.0	n/a	n/a	1.0	3.977	Gram/Gram_run-01/stereo_2MF68U4.wav	1.0	0	3.2510000000000003
35.16	5.541	G_P	2.0	n/a	n/a	2.0	3.2969999999999997	Gram/Gram_run-01/stereo_1MP37U3.wav	2.0	1	2.262
40.714	5.9479999999999995	G_G	1.0	n/a	n/a	1.0	4.331	Gram/Gram_run-01/stereo_2MF50G1.wav	1.0	1	2.2360000000000007
46.669	6.013	G_F	2.0	n/a	n/a	2.0	2.696	Gram/Gram_run-01/stereo_1MF05U1.wav	2.0	1	2.0940000000000003
52.69	7.87	G_C	1.0	n/a	n/a	1.0	0.055999999999999994	Gram/Gram_run-01/CoM01l.wav	1.0	1	0.806
60.563	6.4979999999999976	G_G	1.0	n/a	n/a	1.0	3.805	Gram/Gram_run-01/stereo_1MF23G4.wav	1.0	1	1.624
67.068	6.184	G_F	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_2MF55U2.wav	n/a	0	n/a
73.256	6.83	G_C	1.0	n/a	n/a	1.0	0.924	Gram/Gram_run-01/CoM10l.wav	1.0	1	1.674
80.095	7.505	G_G	1.0	n/a	n/a	1.0	4.367	Gram/Gram_run-01/stereo_2MP96G4.wav	1.0	1	1.9720000000000004
87.6	7.1370000000000005	G_G	1.0	n/a	n/a	1.0	5.129	Gram/Gram_run-01/stereo_1MP47G4.wav	1.0	1	2.662
94.73899999999999	6.694	G_F	2.0	n/a	n/a	1.0	3.193	Gram/Gram_run-01/stereo_2MF61U3.wav	1.0	0	3.943
101.444	5.39	G_C	1.0	n/a	n/a	1.0	0.27699999999999997	Gram/Gram_run-01/CoM01d.wav	1.0	1	1.0270000000000001
106.84899999999999	6.5760000000000005	G_G	1.0	n/a	n/a	1.0	3.083	Gram/Gram_run-01/stereo_1MP35G2.wav	1.0	1	2.079
113.43700000000001	5.3389999999999995	G_F	2.0	n/a	n/a	1.0	3.667	Gram/Gram_run-01/stereo_2MF69U4.wav	1.0	0	2.9290000000000003
118.791	7.94	G_C	1.0	n/a	n/a	1.0	0.48	Gram/Gram_run-01/CoM08l.wav	1.0	1	1.23
126.73100000000001	6.006	G_P	2.0	n/a	n/a	1.0	4.019	Gram/Gram_run-01/stereo_1MP26U1.wav	1.0	0	2.043
132.752	8.422	G_F	2.0	n/a	n/a	2.0	2.9810000000000003	Gram/Gram_run-01/stereo_1MF06U1.wav	2.0	1	2.386
141.175	7.885	G_P	2.0	n/a	n/a	2.0	3.8360000000000003	Gram/Gram_run-01/stereo_2MP81U2.wav	2.0	1	2.9509999999999996
149.064	6.127000000000002	G_G	1.0	n/a	n/a	1.0	4.0280000000000005	Gram/Gram_run-01/stereo_2MP83G2.wav	1.0	1	2.968000000000001
155.203	5.765	G_C	1.0	n/a	n/a	1.0	0.133	Gram/Gram_run-01/CoM02b.wav	1.0	1	0.883
160.974	6.706	G_P	2.0	n/a	n/a	2.0	4.446000000000001	Gram/Gram_run-01/stereo_2MP93U4.wav	2.0	1	2.046000000000002
167.695	6.61	G_P	2.0	n/a	n/a	2.0	4.129	Gram/Gram_run-01/stereo_1MP28U1.wav	2.0	1	2.0140000000000002
174.317	6.63	G_C	1.0	n/a	n/a	1.0	0.215	Gram/Gram_run-01/CoM04b.wav	1.0	1	0.965
180.956	5.665	G_P	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_1MP27U1.wav	2.0	1	3.4490000000000007
186.627	7.55	G_G	1.0	2.0	0.536	1.0	4.23	Gram/Gram_run-01/stereo_2MP77G1.wav	1.0	1	2.1310000000000002
194.183	6.51	G_C	1.0	n/a	n/a	1.0	0.113	Gram/Gram_run-01/CoM03e.wav	1.0	1	0.863
200.704	6.98	G_P	2.0	n/a	n/a	2.0	4.442	Gram/Gram_run-01/stereo_2MP92U4.wav	2.0	1	2.093
207.69299999999998	7.047999999999999	G_G	1.0	n/a	n/a	1.0	3.26	Gram/Gram_run-01/stereo_1MF12G2.wav	1.0	1	2.226
214.748	5.574	G_F	2.0	n/a	n/a	2.0	3.862	Gram/Gram_run-01/stereo_1MF04U1.wav	2.0	1	3.274
220.33599999999998	5.67	G_C	1.0	n/a	n/a	1.0	0.27399999999999997	Gram/Gram_run-01/CoM07d.wav	1.0	1	1.024
226.007	6.6160000000000005	G_P	2.0	n/a	n/a	2.0	2.645	Gram/Gram_run-01/stereo_1MP39U3.wav	2.0	1	1.641
232.62900000000002	5.695	G_P	2.0	n/a	n/a	1.0	3.847	Gram/Gram_run-01/stereo_2MP82U2.wav	1.0	0	2.926
238.333	6.627000000000002	G_F	2.0	n/a	n/a	2.0	3.502	Gram/Gram_run-01/stereo_1MF13U3.wav	2.0	1	4.252
244.972	7.145	G_C	1.0	n/a	n/a	1.0	0.067	Gram/Gram_run-01/CoM08e.wav	1.0	1	0.817
252.127	6.805	G_G	1.0	n/a	n/a	2.0	3.5669999999999997	Gram/Gram_run-01/stereo_1MP41G3.wav	2.0	0	2.261
258.932	7.519	G_P	2.0	n/a	n/a	2.0	3.827	Gram/Gram_run-01/stereo_1MP38U3.wav	2.0	1	2.588
