participant_id	WJ-III_WordID_Raw	WJ-III_WordID_StS	WJ-III_PassComp_Raw	WJ-III_PassComp_StS	WJ-III_ReadFluency_Raw	WJ-III_ReadFluency_StS
5002	n/a	n/a	n/a	n/a	n/a	n/a
5003	n/a	n/a	n/a	n/a	n/a	n/a
5004	n/a	n/a	n/a	n/a	n/a	n/a
5005	62	123	29	100	31	96
5006	n/a	n/a	n/a	n/a	n/a	n/a
5007	50	100	28	95	36	98
5008	69	133	34	112	66	128
5009	66	130	36	122	51	116
5010	46	94	27	93	33	94
5011	51	102	31	104	30	92
5013	n/a	n/a	n/a	n/a	n/a	n/a
5015	63	125	33	113	49	115
5017	n/a	n/a	n/a	n/a	n/a	n/a
5018	65	127	32	107	40	103
5019	n/a	n/a	n/a	n/a	n/a	n/a
5020	54	111	30	103	38	105
5021	47	98	28	97	37	100
5022	58	117	30	103	60	127
5023	58	116	36	122	50	114
5024	46	96	32	107	50	113
5025	58	117	33	110	60	123
5028	n/a	n/a	n/a	n/a	n/a	n/a
5029	50	104	32	109	38	103
5030	n/a	n/a	n/a	n/a	n/a	n/a
5031	n/a	n/a	n/a	n/a	n/a	n/a
5032	52	107	31	106	39	103
5033	n/a	n/a	n/a	n/a	n/a	n/a
5034	65	124	31	101	54	114
5035	n/a	n/a	n/a	n/a	n/a	n/a
5036	54	109	27	95	34	98
5037	n/a	n/a	n/a	n/a	n/a	n/a
5039	n/a	n/a	n/a	n/a	n/a	n/a
5040	51	99	31	101	36	96
5042	59	119	31	107	44	109
5043	63	125	31	106	57	123
5044	52	106	33	112	55	119
5045	n/a	n/a	n/a	n/a	n/a	n/a
5046	50	104	30	103	35	100
5047	63	123	n/a	n/a	57	120
5048	58	113	33	109	46	107
5049	43	91	28	95	37	99
5051	n/a	n/a	n/a	n/a	n/a	n/a
5052	n/a	n/a	n/a	n/a	n/a	n/a
5053	n/a	n/a	n/a	n/a	n/a	n/a
5054	65	127	36	121	65	131
5055	62	123	33	113	63	130
5056	n/a	n/a	n/a	n/a	n/a	n/a
5057	51	104	35	118	45	109
5058	59	118	33	112	63	130
5059	n/a	n/a	n/a	n/a	n/a	n/a
5060	n/a	n/a	n/a	n/a	n/a	n/a
5061	66	129	34	115	43	107
5063	59	119	29	100	33	97
5065	60	120	32	109	54	120
5069	65	128	36	122	79	149
5070	56	114	35	118	64	130
5071	n/a	n/a	n/a	n/a	n/a	n/a
5074	59	117	30	102	55	119
5075	n/a	n/a	n/a	n/a	n/a	n/a
5077	63	125	28	98	44	109
5078	n/a	n/a	n/a	n/a	n/a	n/a
5079	n/a	n/a	n/a	n/a	n/a	n/a
5080	n/a	n/a	n/a	n/a	n/a	n/a
5085	n/a	n/a	n/a	n/a	n/a	n/a
5086	n/a	n/a	n/a	n/a	n/a	n/a
5087	n/a	n/a	n/a	n/a	n/a	n/a
5090	54	109	32	108	40	104
5091	63	125	33	113	60	127
5094	n/a	n/a	n/a	n/a	n/a	n/a
5095	n/a	n/a	n/a	n/a	n/a	n/a
5099	n/a	n/a	n/a	n/a	n/a	n/a
5100	n/a	n/a	n/a	n/a	n/a	n/a
5102	n/a	n/a	n/a	n/a	n/a	n/a
5103	55	112	31	106	33	98
5104	56	112	32	108	43	106
5105	48	98	30	100	32	94
5108	n/a	n/a	n/a	n/a	n/a	n/a
5109	57	115	32	109	49	114
5110	n/a	n/a	n/a	n/a	n/a	n/a
5111	n/a	n/a	n/a	n/a	n/a	n/a
5117	n/a	n/a	n/a	n/a	n/a	n/a
5118	n/a	n/a	n/a	n/a	n/a	n/a
5120	38	87	25	92	32	97
5121	53	110	30	104	58	125
5122	n/a	n/a	n/a	n/a	n/a	n/a
5123	n/a	n/a	n/a	n/a	n/a	n/a
5125	62	123	32	109	90	164
5126	57	115	30	103	36	101
5136	66	130	33	113	60	128
5137	n/a	n/a	n/a	n/a	n/a	n/a
5138	n/a	n/a	n/a	n/a	n/a	n/a
5139	n/a	n/a	n/a	n/a	n/a	n/a
5140	67	132	33	113	73	143
5141	n/a	n/a	n/a	n/a	n/a	n/a
5143	n/a	n/a	n/a	n/a	n/a	n/a
5144	n/a	n/a	n/a	n/a	n/a	n/a
5147	52	103	30	99	46	106
5148	n/a	n/a	n/a	n/a	n/a	n/a
5149	61	120	38	127	48	111
5150	n/a	n/a	n/a	n/a	n/a	n/a
5151	60	120	30	104	40	105
5153	50	104	31	106	37	102
5154	n/a	n/a	n/a	n/a	n/a	n/a
5157	52	108	29	101	44	109
5158	52	107	30	103	36	100
5159	n/a	n/a	n/a	n/a	n/a	n/a
5160	53	109	27	96	39	104
5161	59	119	29	101	38	103
5162	39	89	27	97	35	100
5163	61	121	32	109	44	109
5164	n/a	n/a	n/a	n/a	n/a	n/a
5165	n/a	n/a	n/a	n/a	n/a	n/a
5166	52	107	27	96	35	99
