participant_id	weekly_child_activities_1	weekly_child_activities_2	weekly_child_activities_3	weekly_child_activities_4	weekly_child_activities_5	weekly_child_activities_6	weekly_child_activities_7	weekly_child_activities_8	past_month_child_activities_1	past_month_child_activities_2	past_month_child_activities_3	past_month_child_activities_4	past_month_child_activities_5	past_week_child_reading	time_spent_reading	child_electronic_device	child_electronic_device_usage	child_electronic_device_internet	outside_school_activities_1	outside_school_activities_2	outside_school_activities_3	outside_school_activities_4	outside_school_activities_5	outside_school_activities_6	outside_school_activities_7	outside_school_activities_8	outside_school_activities_9	family_meals	child_tutoring	child_tutoring_subject	family_help_with_art	family_help_with_science	time_do_homework	newspaper_have	magazine_have	dictionary_encyclopedia_have	pocket_calculator_have	children_book_at_home	newspapers_or_magazines_read	books_read	letters_notes_emails_read	internet_webpages_read
sub-5002	4	2	4	4	3	3	3	3	1	1	1	1	2	4	20	1	3	1	1	1	1	2	1	2	1	2	1	5	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5003	3	1	2	3	2	4	4	4	1	2	2	1	2	4	30	1	2	1	1	1	1	2	2	2	2	1	2	4	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5004	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5005	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5006	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5007	4	3	3	3	3	3	4	4	1	1	1	2	1	4	30	1	2	1	1	1	1	1	2	1	1	1	1	7	1	Reading	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5008	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5009	4	4	3	2	2	4	3	3	1	1	1	1	2	4	60	1	2	2	1	1	1	1	2	2	2	1	2	5	2	n/a	2	2	3 hours	2	1	2	1	hundreds or maybe thousands	2	2	4	4
sub-5010	4	2	2	3	3	2	2	2	1	2	1	1	2	3	15	1	2	1	1	2	1	1	2	2	2	2	2	4	2	n/a	2	1	Homework is not required at his school.	1	1	1	1	Over 100.	3	3	4	4
sub-5011	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
