onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.101	7.632999999999999	G_P	2.0	n/a	n/a	2.0	3.821	Gram/Gram_run-02/stereo_1MP45U4.wav	2.0	1	1.69
8.74	7.315	G_F	2.0	n/a	n/a	2.0	3.945	Gram/Gram_run-02/stereo_1MF20U4.wav	2.0	1	3.2349999999999994
16.062	6.283	G_P	2.0	n/a	n/a	2.0	3.622	Gram/Gram_run-02/stereo_1MP34U2.wav	2.0	1	2.53
22.35	6.195	G_C	1.0	n/a	n/a	1.0	0.387	Gram/Gram_run-02/CoM06d.wav	1.0	1	1.137
28.555	6.221	G_G	1.0	n/a	n/a	1.0	3.255	Gram/Gram_run-02/stereo_1MF02G1.wav	1.0	1	1.2149999999999999
34.776	5.801	G_F	2.0	n/a	n/a	2.0	3.382	Gram/Gram_run-02/stereo_2MF64U3.wav	2.0	1	4.132
40.581	6.78	G_C	1.0	n/a	n/a	1.0	0.121	Gram/Gram_run-02/CoM07l.wav	1.0	1	0.871
47.369	6.084	G_F	2.0	n/a	n/a	2.0	2.904	Gram/Gram_run-02/stereo_2MF56U2.wav	2.0	1	3.654
53.457	7.5470000000000015	G_F	2.0	n/a	n/a	2.0	3.908	Gram/Gram_run-02/stereo_1MF21U4.wav	2.0	1	3.157
61.01300000000001	6.482	G_G	1.0	n/a	n/a	1.0	4.585	Gram/Gram_run-02/stereo_1MF24G4.wav	1.0	1	2.224
67.501	6.7810000000000015	G_P	2.0	n/a	n/a	2.0	4.082	Gram/Gram_run-02/stereo_2MP76U1.wav	2.0	1	1.8200000000000003
74.29	6.643	G_P	2.0	n/a	n/a	2.0	3.882	Gram/Gram_run-02/stereo_2MP80U2.wav	2.0	1	2.926
80.945	7.69	G_C	1.0	1.0	0.69	1.0	0.8690000000000001	Gram/Gram_run-02/CoM06e.wav	1.0	1	0.69
88.65100000000002	6.352	G_F	2.0	n/a	n/a	2.0	2.424	Gram/Gram_run-02/stereo_2MF63U3.wav	2.0	1	3.174
95.006	5.801	G_G	1.0	n/a	n/a	1.0	3.439	Gram/Gram_run-02/stereo_1MF18G3.wav	1.0	1	2.056
100.81	7.113	G_P	2.0	n/a	n/a	2.0	3.913	Gram/Gram_run-02/stereo_1MP44U4.wav	2.0	1	1.5559999999999996
107.932	6.78	G_C	1.0	n/a	n/a	1.0	0.254	Gram/Gram_run-02/CoM05b.wav	1.0	1	1.004
114.721	6.7360000000000015	G_F	2.0	n/a	n/a	2.0	2.872	Gram/Gram_run-02/stereo_2MF58U2.wav	2.0	1	3.622
121.459	6.089	G_P	2.0	n/a	n/a	2.0	3.499	Gram/Gram_run-02/stereo_2MP87U3.wav	2.0	1	2.287
127.564	7.6370000000000005	G_P	2.0	n/a	n/a	2.0	4.006	Gram/Gram_run-02/stereo_2MP73U1.wav	2.0	1	1.979
135.203	7.305	G_C	1.0	1.0	0.741	1.0	0.8190000000000001	Gram/Gram_run-02/CoM02l.wav	1.0	1	0.741
142.509	5.983	G_G	1.0	n/a	n/a	1.0	3.432	Gram/Gram_run-02/stereo_1MP42G3.wav	1.0	1	2.51
148.496	5.36	G_P	2.0	n/a	n/a	2.0	3.127	Gram/Gram_run-02/stereo_1MP32U2.wav	2.0	1	2.1209999999999996
153.86700000000005	7.145	G_C	1.0	n/a	n/a	1.0	0.04	Gram/Gram_run-02/CoM09e.wav	1.0	1	0.79
