onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0924	3.5	P_R	1.0	n/a	n/a	1.0	2.108	Phon/Phon_run-02/stereo_PR20.wav	1.0	1	1.858
4.595	4.235	P_O	1.0	n/a	n/a	1.0	1.5759999999999998	Phon/Phon_run-02/PC034.wav	1.0	1	1.3259999999999998
8.8325	3.375	P_R	1.0	n/a	n/a	1.0	1.7930000000000001	Phon/Phon_run-02/stereo_PR13.wav	1.0	1	1.543
12.2183	3.474	P_C	1.0	n/a	n/a	1.0	0.276	Phon/Phon_run-02/ContS12.wav	1.0	1	1.026
15.7041	3.875	P_U	2.0	n/a	n/a	1.0	2.082	Phon/Phon_run-02/PM025.wav	1.0	0	1.8319999999999999
19.5903	3.726	P_R	1.0	n/a	n/a	1.0	1.744	Phon/Phon_run-02/stereo_PR22.wav	1.0	1	1.494
23.3263	3.451	P_O	1.0	n/a	n/a	1.0	1.911	Phon/Phon_run-02/PC014.wav	1.0	1	1.661
26.7799	3.779	P_C	1.0	n/a	n/a	1.0	0.638	Phon/Phon_run-02/ContS02.wav	1.0	1	1.388
30.566	3.821	P_U	2.0	n/a	n/a	2.0	1.5090000000000001	Phon/Phon_run-02/stereo_PU18.wav	2.0	1	1.259
34.402	3.49	P_U	2.0	n/a	n/a	2.0	1.982	Phon/Phon_run-02/stereo_PU12.wav	2.0	1	1.732
37.9046	4.38	P_C	1.0	n/a	n/a	1.0	0.556	Phon/Phon_run-02/ContS32.wav	1.0	1	1.306
42.291000000000004	4.0969999999999995	P_R	1.0	n/a	n/a	1.0	1.64	Phon/Phon_run-02/stereo_PR16.wav	1.0	1	1.39
46.394	3.5	P_O	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/PC022.wav	n/a	0	n/a
49.8966	4.0760000000000005	P_R	1.0	n/a	n/a	2.0	1.409	Phon/Phon_run-02/stereo_PR08.wav	2.0	0	1.159
53.983000000000004	3.5	P_O	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/PC028.wav	1.0	1	3.0440000000000005
57.4856	3.5	P_U	2.0	1.0	0.544	2.0	1.959	Phon/Phon_run-02/stereo_PU27.wav	2.0	1	1.709
60.9881	3.819	P_C	1.0	n/a	n/a	1.0	0.478	Phon/Phon_run-02/ContS06.wav	1.0	1	1.228
64.8086	4.25	P_O	1.0	n/a	n/a	1.0	1.367	Phon/Phon_run-02/PC031.wav	1.0	1	1.117
69.062	3.662	P_C	1.0	n/a	n/a	1.0	0.95	Phon/Phon_run-02/ContS36.wav	1.0	1	1.7
72.7312	3.823	P_O	1.0	n/a	n/a	1.0	2.275	Phon/Phon_run-02/PC023.wav	1.0	1	2.025
76.5674	4.323	P_C	1.0	n/a	n/a	1.0	0.971	Phon/Phon_run-02/ContS24.wav	1.0	1	1.721
