onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.101	3.5	P_R	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/stereo_PR20.wav	n/a	0	n/a
4.604	4.235	P_O	1.0	n/a	n/a	1.0	1.921	Phon/Phon_run-02/PC034.wav	1.0	1	1.671
8.84	3.375	P_R	1.0	n/a	n/a	1.0	2.0380000000000003	Phon/Phon_run-02/stereo_PR13.wav	1.0	1	1.7880000000000003
12.225999999999999	3.474	P_C	1.0	n/a	n/a	1.0	0.3	Phon/Phon_run-02/ContS12.wav	1.0	1	1.05
15.712	3.875	P_U	2.0	n/a	n/a	2.0	1.609	Phon/Phon_run-02/PM025.wav	2.0	1	1.359
19.599	3.726	P_R	1.0	n/a	n/a	1.0	1.218	Phon/Phon_run-02/stereo_PR22.wav	1.0	1	0.968
23.335	3.451	P_O	1.0	n/a	n/a	1.0	1.881	Phon/Phon_run-02/PC014.wav	1.0	1	1.631
26.788	3.779	P_C	1.0	n/a	n/a	1.0	0.264	Phon/Phon_run-02/ContS02.wav	1.0	1	1.014
30.574	3.821	P_U	2.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/stereo_PU18.wav	n/a	0	n/a
34.41	3.49	P_U	2.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/stereo_PU12.wav	n/a	0	n/a
37.913000000000004	4.38	P_C	1.0	n/a	n/a	1.0	0.17300000000000001	Phon/Phon_run-02/ContS32.wav	1.0	1	0.923
42.299	4.0969999999999995	P_R	1.0	n/a	n/a	1.0	1.879	Phon/Phon_run-02/stereo_PR16.wav	1.0	1	1.629
46.403	3.5	P_O	1.0	n/a	n/a	1.0	1.972	Phon/Phon_run-02/PC022.wav	1.0	1	1.722
49.905	4.0760000000000005	P_R	1.0	n/a	n/a	1.0	1.871	Phon/Phon_run-02/stereo_PR08.wav	1.0	1	1.621
