onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0915	6.895	G_F	2.0	n/a	n/a	1.0	3.719	Gram/Gram_run-01/stereo_2MF57U2.wav	1.0	0	4.468999999999999
7.9964	7.175	G_F	2.0	n/a	n/a	2.0	2.5380000000000003	Gram/Gram_run-01/stereo_1MF15U3.wav	2.0	1	3.2880000000000003
15.1851	6.5070000000000014	G_G	1.0	n/a	n/a	2.0	4.798	Gram/Gram_run-01/stereo_1MF11G2.wav	2.0	0	3.618
21.7065	6.505	G_C	1.0	n/a	n/a	1.0	0.804	Gram/Gram_run-01/CoM09d.wav	1.0	1	1.554
28.2123	6.9479999999999995	G_F	2.0	1.0	0.14300000000000002	1.0	3.8310000000000004	Gram/Gram_run-01/stereo_2MF68U4.wav	1.0	0	3.1050000000000004
35.1675	5.541	G_P	2.0	n/a	n/a	1.0	2.852	Gram/Gram_run-01/stereo_1MP37U3.wav	1.0	0	1.8169999999999997
40.7217	5.9479999999999995	G_G	1.0	n/a	n/a	1.0	4.15	Gram/Gram_run-01/stereo_2MF50G1.wav	1.0	1	2.0550000000000006
46.6761	6.013	G_F	2.0	n/a	n/a	2.0	4.001	Gram/Gram_run-01/stereo_1MF05U1.wav	2.0	1	3.3990000000000005
52.6972	7.87	G_C	1.0	n/a	n/a	1.0	1.126	Gram/Gram_run-01/CoM01l.wav	1.0	1	1.876
60.5705	6.4979999999999976	G_G	1.0	n/a	n/a	1.0	5.225	Gram/Gram_run-01/stereo_1MF23G4.wav	1.0	1	3.0439999999999996
67.0753	6.184	G_F	2.0	n/a	n/a	1.0	3.846	Gram/Gram_run-01/stereo_2MF55U2.wav	1.0	0	4.596
73.264	6.83	G_C	1.0	n/a	n/a	1.0	0.326	Gram/Gram_run-01/CoM10l.wav	1.0	1	1.076
80.1023	7.505	G_G	1.0	n/a	n/a	1.0	6.142	Gram/Gram_run-01/stereo_2MP96G4.wav	1.0	1	3.7470000000000008
87.6086	7.1370000000000005	G_G	1.0	n/a	n/a	1.0	4.6930000000000005	Gram/Gram_run-01/stereo_1MP47G4.wav	1.0	1	2.226000000000001
94.74799999999999	6.694	G_F	2.0	n/a	n/a	1.0	3.122	Gram/Gram_run-01/stereo_2MF61U3.wav	1.0	0	3.872
101.4529	5.39	G_C	1.0	n/a	n/a	1.0	0.028999999999999998	Gram/Gram_run-01/CoM01d.wav	1.0	1	0.779
106.8569	6.5760000000000005	G_G	1.0	n/a	n/a	1.0	3.302	Gram/Gram_run-01/stereo_1MP35G2.wav	1.0	1	2.298
113.4451	5.3389999999999995	G_F	2.0	n/a	n/a	1.0	4.03	Gram/Gram_run-01/stereo_2MF69U4.wav	1.0	0	3.2920000000000007
118.7989	7.94	G_C	1.0	n/a	n/a	1.0	1.3	Gram/Gram_run-01/CoM08l.wav	1.0	1	2.05
126.7476	6.006	G_P	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_1MP26U1.wav	2.0	1	3.4860000000000007
132.7683	8.422	G_F	2.0	2.0	0.20600000000000002	1.0	4.976	Gram/Gram_run-01/stereo_1MF06U1.wav	1.0	0	4.380999999999999
141.1919	7.885	G_P	2.0	n/a	n/a	2.0	4.496	Gram/Gram_run-01/stereo_2MP81U2.wav	2.0	1	3.611
149.082	6.127000000000002	G_G	1.0	n/a	n/a	2.0	3.833	Gram/Gram_run-01/stereo_2MP83G2.wav	2.0	0	2.7730000000000006
155.2198	5.765	G_C	1.0	n/a	n/a	1.0	0.18899999999999997	Gram/Gram_run-01/CoM02b.wav	1.0	1	0.9390000000000001
160.9908	6.706	G_P	2.0	n/a	n/a	2.0	4.656000000000001	Gram/Gram_run-01/stereo_2MP93U4.wav	2.0	1	2.256000000000002
167.7098	6.61	G_P	2.0	n/a	n/a	2.0	5.0969999999999995	Gram/Gram_run-01/stereo_1MP28U1.wav	2.0	1	2.982000000000001
174.3313	6.63	G_C	1.0	n/a	n/a	2.0	0.568	Gram/Gram_run-01/CoM04b.wav	2.0	0	1.318
