onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0934	7.632999999999999	G_P	2.0	n/a	n/a	2.0	3.937	Gram/Gram_run-02/stereo_1MP45U4.wav	2.0	1	1.8059999999999996
8.7323	7.315	G_F	2.0	n/a	n/a	2.0	3.8989999999999996	Gram/Gram_run-02/stereo_1MF20U4.wav	2.0	1	3.1889999999999996
16.0543	6.283	G_P	2.0	n/a	n/a	2.0	3.425	Gram/Gram_run-02/stereo_1MP34U2.wav	2.0	1	2.3329999999999997
22.3421	6.195	G_C	1.0	1.0	0.6809999999999999	n/a	n/a	Gram/Gram_run-02/CoM06d.wav	1.0	1	0.6809999999999999
28.5465	6.221	G_G	1.0	n/a	n/a	2.0	4.672	Gram/Gram_run-02/stereo_1MF02G1.wav	2.0	0	2.6319999999999997
34.769	5.801	G_F	2.0	n/a	n/a	1.0	0.589	Gram/Gram_run-02/stereo_2MF64U3.wav	1.0	0	1.339
40.5743	6.78	G_C	1.0	n/a	n/a	1.0	1.272	Gram/Gram_run-02/CoM07l.wav	1.0	1	2.0220000000000002
47.3625	6.084	G_F	2.0	n/a	n/a	2.0	3.804	Gram/Gram_run-02/stereo_2MF56U2.wav	2.0	1	4.554
53.4512	7.5470000000000015	G_F	2.0	n/a	n/a	2.0	4.428	Gram/Gram_run-02/stereo_1MF21U4.wav	2.0	1	3.6769999999999996
61.0065	6.482	G_G	1.0	n/a	n/a	1.0	4.484	Gram/Gram_run-02/stereo_1MF24G4.wav	1.0	1	2.123
67.4946	6.7810000000000015	G_P	2.0	n/a	n/a	2.0	4.365	Gram/Gram_run-02/stereo_2MP76U1.wav	2.0	1	2.1030000000000006
74.2828	6.643	G_P	2.0	n/a	n/a	1.0	3.5860000000000003	Gram/Gram_run-02/stereo_2MP80U2.wav	1.0	0	2.6300000000000003
80.9376	7.69	G_C	1.0	n/a	n/a	1.0	0.324	Gram/Gram_run-02/CoM06e.wav	1.0	1	1.074
88.639	6.352	G_F	2.0	n/a	n/a	2.0	2.78	Gram/Gram_run-02/stereo_2MF63U3.wav	2.0	1	3.53
94.9947	5.801	G_G	1.0	n/a	n/a	1.0	4.569	Gram/Gram_run-02/stereo_1MF18G3.wav	1.0	1	3.186
