participant_id	WJ-III_WordID_Raw	WJ-III_WordID_StS	WJ-III_PassComp_Raw	WJ-III_PassComp_StS	WJ-III_ReadFluency_Raw	WJ-III_ReadFluency_StS
sub-5002	28	98	n/a	n/a	n/a	n/a
sub-5003	40	115	n/a	n/a	n/a	n/a
sub-5004	44	119	n/a	n/a	n/a	n/a
sub-5005	54	129	n/a	n/a	n/a	n/a
sub-5006	n/a	n/a	n/a	n/a	n/a	n/a
sub-5007	23	90	n/a	n/a	n/a	n/a
sub-5008	56	131	n/a	n/a	n/a	n/a
sub-5009	58	131	n/a	n/a	n/a	n/a
sub-5010	29	98	n/a	n/a	n/a	n/a
sub-5011	32	102	n/a	n/a	n/a	n/a
sub-5013	n/a	n/a	n/a	n/a	n/a	n/a
sub-5015	54	132	n/a	n/a	n/a	n/a
sub-5017	n/a	n/a	n/a	n/a	n/a	n/a
sub-5018	62	131	n/a	n/a	n/a	n/a
sub-5019	50	120	n/a	n/a	n/a	n/a
sub-5020	46	113	n/a	n/a	n/a	n/a
sub-5021	40	110	n/a	n/a	n/a	n/a
sub-5022	51	118	n/a	n/a	n/a	n/a
sub-5023	51	126	n/a	n/a	n/a	n/a
sub-5024	38	107	n/a	n/a	n/a	n/a
sub-5025	50	122	n/a	n/a	n/a	n/a
sub-5028	n/a	n/a	n/a	n/a	n/a	n/a
sub-5029	38	108	n/a	n/a	n/a	n/a
sub-5030	n/a	n/a	n/a	n/a	n/a	n/a
sub-5031	55	129	n/a	n/a	n/a	n/a
sub-5032	35	105	n/a	n/a	n/a	n/a
sub-5033	44	119	n/a	n/a	n/a	n/a
sub-5034	63	137	n/a	n/a	n/a	n/a
sub-5035	n/a	n/a	n/a	n/a	n/a	n/a
sub-5036	43	113	n/a	n/a	n/a	n/a
sub-5037	n/a	n/a	n/a	n/a	n/a	n/a
sub-5039	n/a	n/a	n/a	n/a	n/a	n/a
sub-5040	40	100	n/a	n/a	n/a	n/a
sub-5042	45	115	n/a	n/a	n/a	n/a
sub-5043	58	134	n/a	n/a	n/a	n/a
sub-5044	41	114	n/a	n/a	n/a	n/a
sub-5045	48	120	n/a	n/a	n/a	n/a
sub-5046	40	111	n/a	n/a	n/a	n/a
sub-5047	56	130	n/a	n/a	n/a	n/a
sub-5048	47	112	n/a	n/a	n/a	n/a
sub-5049	32	101	n/a	n/a	n/a	n/a
sub-5051	n/a	n/a	n/a	n/a	n/a	n/a
sub-5052	49	114	n/a	n/a	n/a	n/a
sub-5053	32	97	n/a	n/a	n/a	n/a
sub-5054	60	137	n/a	n/a	n/a	n/a
sub-5055	44	120	n/a	n/a	n/a	n/a
sub-5056	30	91	n/a	n/a	n/a	n/a
sub-5057	48	116	n/a	n/a	n/a	n/a
sub-5058	54	127	n/a	n/a	n/a	n/a
sub-5059	39	108	n/a	n/a	n/a	n/a
sub-5060	n/a	n/a	n/a	n/a	n/a	n/a
sub-5061	62	137	n/a	n/a	n/a	n/a
sub-5063	47	119	n/a	n/a	n/a	n/a
sub-5065	39	112	n/a	n/a	n/a	n/a
sub-5069	60	130	n/a	n/a	n/a	n/a
sub-5070	44	116	n/a	n/a	n/a	n/a
sub-5071	42	114	n/a	n/a	n/a	n/a
sub-5074	53	129	n/a	n/a	n/a	n/a
sub-5075	57	131	n/a	n/a	n/a	n/a
sub-5077	58	134	n/a	n/a	n/a	n/a
sub-5078	n/a	n/a	n/a	n/a	n/a	n/a
sub-5079	41	108	n/a	n/a	n/a	n/a
sub-5080	36	105	n/a	n/a	n/a	n/a
sub-5085	46	123	n/a	n/a	n/a	n/a
sub-5086	52	128	n/a	n/a	n/a	n/a
sub-5087	48	125	n/a	n/a	n/a	n/a
sub-5090	32	97	n/a	n/a	n/a	n/a
sub-5091	56	131	n/a	n/a	n/a	n/a
sub-5094	46	121	n/a	n/a	n/a	n/a
sub-5095	n/a	n/a	n/a	n/a	n/a	n/a
sub-5099	44	122	n/a	n/a	n/a	n/a
sub-5100	n/a	n/a	n/a	n/a	n/a	n/a
sub-5102	43	118	n/a	n/a	n/a	n/a
sub-5103	37	112	n/a	n/a	n/a	n/a
sub-5104	52	122	n/a	n/a	n/a	n/a
sub-5105	38	108	n/a	n/a	n/a	n/a
sub-5108	n/a	n/a	n/a	n/a	n/a	n/a
sub-5109	49	125	n/a	n/a	n/a	n/a
sub-5110	45	110	n/a	n/a	n/a	n/a
sub-5111	44	119	n/a	n/a	n/a	n/a
sub-5117	n/a	n/a	n/a	n/a	n/a	n/a
sub-5118	39	114	n/a	n/a	n/a	n/a
