participant_id	weekly_child_activities_1	weekly_child_activities_2	weekly_child_activities_3	weekly_child_activities_4	weekly_child_activities_5	weekly_child_activities_6	weekly_child_activities_7	weekly_child_activities_8	past_month_child_activities_1	past_month_child_activities_2	past_month_child_activities_3	past_month_child_activities_4	past_month_child_activities_5	past_week_child_reading	time_spent_reading	child_electronic_device	child_electronic_device_usage	child_electronic_device_internet	outside_school_activities_1	outside_school_activities_2	outside_school_activities_3	outside_school_activities_4	outside_school_activities_5	outside_school_activities_6	outside_school_activities_7	outside_school_activities_8	outside_school_activities_9	family_meals	child_tutoring	child_tutoring_subject	family_help_with_art	family_help_with_science	time_do_homework	newspaper_have	magazine_have	dictionary_encyclopedia_have	pocket_calculator_have	children_book_at_home	newspapers_or_magazines_read	books_read	letters_notes_emails_read	internet_webpages_read
5002	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5003	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5004	3	2	2	3	1	3	2	2	1	2	1	2	2	4	45	1	2	2	2	1	1	2	2	2	n/a	n/a	2	7	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5005	2	2	2	2	3	3	3	3	1	1	2	2	1	4	20	1	3	1	1	1	1	1	1	2	1	2	2	7	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5006	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5007	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5008	3	2	3	2	2	4	4	4	1	1	2	2	2	4	30	1	2	2	1	1	2	1	1	2	1	1	2	7	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5009	4	4	4	4	3	4	4	4	1	1	2	1	1	4	30	1	3	2	2	1	2	2	2	2	2	1	2	4	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5010	3	2	n/a	3	3	3	3	3	1	2	1	1	2	2	15	1	2	1	1	2	2	1	2	2	2	2	1	5	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5011	2	2	3	2	3	4	4	4	1	1	1	2	2	3	10	1	3	2	2	1	2	1	2	1	2	2	2	7	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
