run	stim_file	trial_type	stim_duration	stim_verb_forms	stim_averaged_frequency	stim_averaged_word_length	stim_total_number_syllable	stim_average_intensity	carrier_phrase	carrier_phrase_word_frequency	carrier_phrase_word_length	carrier_phrase_syllable_num	carrier_phrase_duration	pause1_duration	subject	subject_word_frequency	subject_word_length	subject_syllable_num	subject_duration	verb1	verb1_word_frequency	verb1_word_length	verb1_syllable_num	verb1_duration	verb2	verb2_word_frequency	verb2_word_length	verb2_syllable_num	verb2_duration	verb3	verb3_word_frequency	verb3_word_length	verb3_syllable_num	verb3_duration	subject_phrase_duration	pause2_duration	number	number_word_frequency	number_word_length	number_syllable_num	number_duration	object	object_word_frequency	object_word_length	object_syllable_num	object_duration	object_phrase_duration
1	CoM02e.wav	SP_C	4.21	n/a	n/a	n/a	n/a	64.6514	n/a	n/a	n/a	n/a	0.771	0.494	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.885	0.494	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.564
1	CoM03b.wav	SP_C	3.04	n/a	n/a	n/a	n/a	65.0321	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.275	0.494	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.271
1	CoM03d.wav	SP_C	3.19	n/a	n/a	n/a	n/a	65.1256	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.206	0.502	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.482
1	CoM03l.wav	SP_C	4.45	n/a	n/a	n/a	n/a	64.7621	n/a	n/a	n/a	n/a	1.085	0.494	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.24	0.494	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.137
1	CoM05d.wav	SP_C	3.27	n/a	n/a	n/a	n/a	65.2041	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.473	0.498	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.3
1	CoM05e.wav	SP_C	4.24	n/a	n/a	n/a	n/a	64.6385	n/a	n/a	n/a	n/a	0.804	0.492	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.886	0.498	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.559
1	CoM06l.wav	SP_C	4.48	n/a	n/a	n/a	n/a	64.6906	n/a	n/a	n/a	n/a	0.988	0.497	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.006	0.491	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.479
1	CoM08b.wav	SP_C	3.32	n/a	n/a	n/a	n/a	65.1104	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.418	0.488	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.414
1	CoM09b.wav	SP_C	3.47	n/a	n/a	n/a	n/a	64.9019	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.406	0.506	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.558
1	CoM10e.wav	SP_C	4.28	n/a	n/a	n/a	n/a	64.6392	n/a	n/a	n/a	n/a	0.845	0.494	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.887	0.486	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.568
1	stereo_PC01.wav	SP_S	2.881	be	1692633.4	3.8000	5.342	65.8007	n/a	n/a	n/a	n/a	n/a	n/a	She	488052	3	1	0.297	is	6474135	2	1	0.234	singing	12561	7	2	0.636	n/a	n/a	n/a	n/a	n/a	1.167	0.524	one	1428618	3	1	0.342	song	59801	4	1	0.848	1.19
1	stereo_PC13.wav	SP_S	2.792	do	1183484.833	3.0000	5.317	65.8007	n/a	n/a	n/a	n/a	n/a	n/a	They	1617818	4	1	0.162	do	1360645	2	1	0.234	not	2605564	3	1	0.213	tow	2011	3	1	0.674	1.283	0.53	one	1428618	3	1	0.317	car	86253	3	1	0.663	0.98
1	stereo_PC14.wav	SP_S	2.863	do	958043	3.8333	6.373	65.8007	n/a	n/a	n/a	n/a	n/a	n/a	He	1178718	2	1	0.218	does	525612	4	1	0.207	not	2605564	3	1	0.27	flush	4223	5	1	0.694	1.389	0.532	one	1428618	3	1	0.373	toilet	5523	6	2	0.532	0.905
1	stereo_PC24.wav	SP_S	4.061	3-s	456148	3.8000	6.372	65.8007	Every day	234630	4	3	0.807	0.597	she	488052	3	1	0.383	drives	43187	6	1	0.697	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.08	0.524	one	1428618	3	1	0.372	car	86253	3	1	0.681	1.053
1	stereo_PC26.wav	SP_S	3.856	3-s	573954.2	3.8000	6.363	65.8007	Every day	234630	4	3	0.801	0.537	he	1178718	2	1	0.308	rides	3950	5	1	0.637	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.945	0.567	one	1428618	3	1	0.363	horse	23855	5	1	0.642	1.005
1	stereo_PC35.wav	SP_S	3.949	ed	229604.9	4.0000	5.219	65.8007	Last week	200380.5	4	2	0.978	0.54	she	488052	3	1	0.408	baked	1780	5	1	0.576	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.984	0.515	two	456473	3	1	0.219	cakes	1339	5	1	0.713	0.932
1	stereo_PC36.wav	SP_S	3.938	ed	404024.5	5.4000	6.259	65.8007	Last week	200380.5	4	2	0.854	0.544	they	1617818	4	1	0.229	framed	1759	6	1	0.61	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.839	0.559	three	165169	5	1	0.259	pictures	34996	8	2	0.884	1.143
