run	stim_file	trial_type	total_stim_duration	stim_average_intensity	word_A	word_A_duration	word_A_length	word_A_frequency	word_A_ortho_neighbors	word_A_phono_neighbors	word_A_semantic_neighbors	word_A_number_ phonemes	word_A_number_syllables	word_A_number_morphemes	word_A_part_of_speech	pause_duration	word_B	word_B_duration	word_B_length	word_B_frequency	word_B_ortho_neighbors	word_B_phono_neighbors	word_B_semantic_neighbors	word_B_number_ phonemes	word_B_number_syllables	word_B_number_morphemes	word_B_part_of_speech	word_A_B_association_strength
1	stereo_1SH03A0.wav	S_H	1.7	65.8007	syrup	0.632	5	1916	0	2	0	5	2	1	NN	0.368	pancakes	0.7	8	671	0	0	0	7	3	3	NN	0.503
1	stereo_1SH04A0.wav	S_H	1.617	65.8007	trash	0.609	5	9768	3	7	169	4	1	1	NN|VB	0.391	garbage	0.617	7	12598	0	0	929	6	2	1	NN	0.526
1	stereo_1SH05A0.wav	S_H	1.623	65.8007	above	0.581	5	177919	1	1	8495	4	2	1	minor|JJ|NN	0.419	below	0.623	5	90658	0	12	8036	4	2	1	minor|NN	0.564
1	stereo_1SH06A0.wav	S_H	1.7	65.8007	yell	0.694	4	3322	9	20	0	3	1	1	NN|VB	0.306	scream	0.7	6	7435	1	4	75	5	1	1	NN|VB	0.578
1	stereo_1SH07A0.wav	S_H	1.58	65.8007	mitten	0.588	6	139	2	5	0	4	2	1	NN	0.412	glove	0.58	5	2355	3	2	0	4	1	1	NN|VB	0.594
1	stereo_1SH08A0.wav	S_H	1.527	65.8007	spoon	0.664	5	2624	4	11	0	4	1	1	NN|VB	0.336	fork	0.527	4	11253	9	13	585	4	1	1	NN	0.614
1	stereo_1SH11A0.wav	S_H	1.542	65.8007	touch	0.558	5	34803	4	12	6384	3	1	1	NN|VB	0.442	feel	0.542	4	162048	9	35	6998	3	1	1	VB|NN	0.673
1	stereo_1SH13A0.wav	S_H	1.683	65.8007	table	0.614	5	56081	4	6	7437	4	2	1	NN|VB	0.386	chair	0.683	5	18589	3	27	5840	3	1	1	NN|VB	0.756
1	stereo_1SH15A0.wav	S_H	1.7	65.8007	itch	0.504	4	758	2	11	0	2	1	1	VB|NN	0.496	scratch	0.7	7	8067	0	4	853	5	1	1	NN|VB	0.848
1	stereo_2SH56A0.wav	S_H	1.616	65.8007	tall	0.601	4	11346	15	32	4835	3	1	1	JJ|NN	0.399	short	0.616	5	95521	7	8	9396	4	1	1	JJ|NN|RB|VB	0.696
1	stereo_2SH57A0.wav	S_H	1.69	65.8007	sketch	0.654	6	2053	0	2	2979	4	1	1	NN|VB	0.346	draw	0.69	4	26592	5	2	6853	3	1	1	VB|NN	0.764
1	stereo_2SH58A0.wav	S_H	1.671	65.8007	washer	0.605	6	1011	3	1	0	4	2	2	NN	0.395	dryer	0.671	5	1153	2	6	0	4	1	2	NN|JJ	0.755
1	stereo_1SL17A0.wav	S_L	1.5	65.8007	water	0.5	5	105961	6	7	7707	4	2	1	NN|VB	0.5	drink	0.5	5	19872	3	4	4861	5	1	1	VB|NN	0.167
1	stereo_1SL25A0.wav	S_L	1.66	65.8007	salad	0.672	5	2491	0	2	0	5	2	1	NN	0.328	lettuce	0.66	7	970	0	3	0	5	2	1	NN	0.299
1	stereo_1SL26A0.wav	S_L	1.571	65.8007	dish	0.553	4	7237	6	14	973	3	1	1	NN|VB	0.447	plate	0.571	5	10419	5	13	5135	4	1	1	NN|VB	0.315
1	stereo_1SL27A0.wav	S_L	1.62	65.8007	dig	0.5	3	8929	14	19	507	3	1	1	VB|NN	0.5	shovel	0.62	6	1017	1	3	0	4	2	1	NN|VB	0.32
1	stereo_1SL29A0.wav	S_L	1.5	65.8007	little	0.5	6	288496	0	7	9631	4	2	1	JJ|RB|NN	0.5	big	0.5	3	178681	16	22	9069	3	1	1	JJ	0.358
1	stereo_1SL30A0.wav	S_L	1.644	65.8007	call	0.532	4	241962	13	31	8918	3	1	1	VB|NN	0.468	phone	0.644	5	141619	3	27	6294	3	1	1	NN|VB	0.378
1	stereo_2SL62A0.wav	S_L	1.592	65.8007	picture	0.586	7	46520	0	0	7844	5	2	2	NN|VB	0.414	painting	0.592	8	5514	2	4	6938	6	2	2	NN|VB	0.184
1	stereo_2SL63A0.wav	S_L	1.619	65.8007	purse	0.569	5	1862	6	19	0	3	1	1	NN|VB	0.431	wallet	0.619	6	2303	4	2	0	5	2	1	NN	0.203
1	stereo_2SL64A0.wav	S_L	1.609	65.8007	children	0.646	8	96102	0	0	8787	7	2	2	NN	0.354	kids	0.609	4	49811	5	6	6153	4	1	2	NN|VB	0.229
1	stereo_2SL65A0.wav	S_L	1.677	65.8007	throw	0.571	5	28289	2	8	3722	3	1	1	VB|NN	0.429	catch	0.677	5	22587	6	19	5641	3	1	1	VB|NN	0.234
1	stereo_2SL71A0.wav	S_L	1.659	65.8007	silent	0.652	6	9257	0	1	5830	6	2	2	JJ	0.348	quiet	0.659	5	13086	2	0	5505	5	1	1	JJ|VB|NN	0.324
1	stereo_2SL72A0.wav	S_L	1.629	65.8007	sneeze	0.698	6	540	0	7	0	4	1	1	VB|NN	0.302	cough	0.629	5	2215	6	8	0	3	1	1	NN|VB	0.348
1	ContS01.wav	S_C	1.594	64.3217	n/a	0.54	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.46	n/a	0.59	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	ContS05.wav	S_C	1.634	64.5104	n/a	0.66	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.42	n/a	0.54	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	ContS07.wav	S_C	1.644	64.3752	n/a	0.54	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.46	n/a	0.64	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	ContS11.wav	S_C	1.674	64.5463	n/a	0.66	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.42	n/a	0.59	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	ContS13.wav	S_C	1.684	64.4152	n/a	0.54	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.47	n/a	0.68	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	ContS17.wav	S_C	1.713	64.5806	n/a	0.66	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.46	n/a	0.59	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	ContS19.wav	S_C	1.74	64.9549	n/a	0.78	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.32	n/a	0.64	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	ContS23.wav	S_C	1.763	64.7503	n/a	0.66	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.46	n/a	0.64	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
