run	stim_file	trial_type	stim_duration	stim_verb_forms	stim_violation_type	stim_averaged_frequency	stim_averaged_word_length	stim_total_number_syllable	stim_average_intensity	carrier_phrase	carrier_phrase_word_frequency	carrier_phrase_word_length	carrier_phrase_syllable_num	carrier_phrase_duration	pause1_duration	subject	subject_word_frequency	subject_word_length	subject_syllable_num	subject_duration	verb1	verb1_word_frequency	verb1_word_length	verb1_syllable_num	verb1_duration	verb2	verb2_word_frequency	verb2_word_length	verb2_syllable_num	verb2_duration	verb3	verb3_word_frequency	verb3_word_length	verb3_syllable_num	verb3_duration	subject_phrase_duration	pause2_duration	number	number_word_frequency	number_word_length	number_syllable_num	number_duration	object	object_word_frequency	object_word_length	object_syllable_num	object_duration	object_phrase_duration
1	stereo_1MF04U1.wav	G_F	4.02	3-s	omitt	451905.4	4.2000	8	65.8007	Every day	234630	4	3	0.841	0.497	she	488052	3	1	0.307	press	77897	5	1	0.698	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.005	0.492	one	1428618	3	1	0.465	button	30330	6	2	0.719	1.184
1	stereo_1MF05U1.wav	G_F	4.3	3-s	add	477258.2	4.0000	7	65.8007	Every day	234630	4	3	0.86	0.492	they	1617818	4	1	0.232	naps	303	4	1	0.679	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.911	0.492	two	456473	3	1	0.458	hours	77067	5	1	1.085	1.543
1	stereo_1MF06U1.wav	G_F	4.207	3-s	add	391766.6	4.6000	7	65.8007	Every day	234630	4	3	0.847	0.498	they	1617818	4	1	0.304	walks	6774	5	1	0.803	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.107	0.52	four	85200	4	1	0.288	blocks	14411	6	1	0.946	1.234
1	stereo_1MF13U3.wav	G_F	3.073	do	omitt	713528	3.6000	5	65.8007	n/a	n/a	n/a	n/a	n/a	n/a	She 	488052	3	1	0.4	not	2605564	3	1	0.23	cook	13551	4	1	0.484	n/a	n/a	n/a	n/a	n/a	1.114	0.65	two	456473	3	1	0.424	meals	4000	5	1	0.884	1.308
1	stereo_1MF15U3.wav	G_F	3.138	do	add	849616.2	3.8000	5	65.8007	n/a	n/a	n/a	n/a	n/a	n/a	He 	1178718	2	1	0.279	not	2605564	3	1	0.263	wipe	4281	4	1	0.47	n/a	n/a	n/a	n/a	n/a	1.012	0.628	two	456473	3	1	0.474	shelves	3045	7	1	1.024	1.498
1	stereo_2MF55U2.wav	G_F	3.256	be	omitt	338200.5	4.5000	5	65.8007	n/a	n/a	n/a	n/a	n/a	n/a	He	1178718	2	1	0.378	packing	3110	7	2	0.828	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.206	0.5	three	165169	5	1	0.483	bags	5805	4	1	1.067	1.55
1	stereo_2MF57U2.wav	G_F	3.161	be	omitt	244366.75	4.7500	5	65.8007	n/a	n/a	n/a	n/a	n/a	n/a	She	488052	3	1	0.424	walking	18531	7	2	0.722	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.146	0.502	two	456473	3	1	0.461	blocks	14411	6	1	1.052	1.513
1	stereo_2MF61U3.wav	G_F	2.791	do	omitt	928479.2	3.6000	6	65.8007	n/a	n/a	n/a	n/a	n/a	n/a	She 	488052	3	1	0.421	not	2605564	3	1	0.209	pick	45297	4	1	0.634	n/a	n/a	n/a	n/a	n/a	1.264	0.5	one	1428618	3	1	0.457	color	74865	5	2	0.569	1.026
1	stereo_2MF68U4.wav	G_F	4.1	ed	omitt	230448.1	3.8000	6	65.8007	Last week	200380.5	4	2	0.947	0.529	she	488052	3	1	0.413	spill	1609	5	1	0.661	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.074	0.508	two	456473	3	1	0.299	cups	5726	4	1	0.778	1.077
1	stereo_2MF69U4.wav	G_F	4.105	ed	n/a	661024.5	4.8000	8	65.8007	Last week	200380.5	4	2	0.964	0.524	they	1617818	4	1	0.18	cancel	20643	6	2	0.8	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.98	0.484	one	1428618	3	1	0.493	meeting	37663	7	2	0.599	1.092
1	stereo_1MF11G2.wav	G_G	3.501	be	n/a	1719812	3.4000	6	65.8007	n/a	n/a	n/a	n/a	n/a	n/a	She	488052	3	1	0.452	is	6474135	2	1	0.321	moving	36725	6	2	0.66	n/a	n/a	n/a	n/a	n/a	1.433	0.497	one	1428618	3	1	0.538	box	171530	3	1	1.035	1.573
1	stereo_1MF12G2.wav	G_G	3.262	be	n/a	1564453.2	4.6000	7	65.8007	n/a	n/a	n/a	n/a	n/a	n/a	He	1178718	2	1	0.333	is	6474135	2	1	0.193	popping	2189	7	2	0.749	n/a	n/a	n/a	n/a	n/a	1.275	0.509	three	165169	5	1	0.467	bubbles	2055	7	2	1.01	1.477
1	stereo_1MF23G4.wav	G_G	4.217	ed	n/a	372766.5	4.4000	6	65.8007	Last week	200380.5	4	2	0.948	0.531	he	1178718	2	1	0.288	picked	20151	6	1	0.658	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.946	0.506	two	456473	3	1	0.354	flowers	8110	7	1	0.931	1.285
1	stereo_1MP35G2.wav	G_G	3.244	be	n/a	1504997.4	4.0000	6	65.8007	n/a	n/a	n/a	n/a	n/a	n/a	She	488052	3	1	0.343	is	6474135	2	1	0.193	playing	73055	7	2	0.661	n/a	n/a	n/a	n/a	n/a	1.197	0.557	two	456473	3	1	0.44	songs	33272	5	1	1.051	1.491
1	stereo_1MP41G3.wav	G_G	3.706	do	n/a	619358.8333	4.1667	6	65.8007	n/a	n/a	n/a	n/a	n/a	n/a	She	488052	3	1	0.344	does	525612	4	1	0.239	not	2605564	3	1	0.33	climb	6144	5	1	0.646	1.559	0.497	four	85200	4	1	0.569	stairs	5581	6	1	1.081	1.65
1	stereo_1MP47G4.wav	G_G	4.972	ed	n/a	456160.1	4.8000	6	65.8007	Last week	200380.5	4	2	0.911	0.535	they	1617818	4	1	0.346	spilled	1189	7	1	0.905	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.251	0.52	two	456473	3	1	0.43	drinks	4940	6	1	1.296	1.726
