onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.084	4.2010000000000005	S_U	2.0	n/a	n/a	2.0	2.505	Sem/Sem_run-02/stereo_1SU33A0.wav	2.0	1	2.255
5.287000000000001	3.486	S_U	2.0	n/a	n/a	2.0	1.705	Sem/Sem_run-02/stereo_2SU85A0.wav	2.0	1	1.455
8.79	3.8539999999999996	S_H	1.0	n/a	n/a	1.0	1.399	Sem/Sem_run-02/stereo_2SH50A0.wav	1.0	1	1.149
12.659	3.454	S_C	1.0	n/a	n/a	1.0	0.239	Sem/Sem_run-02/ContS08.wav	1.0	1	0.989
16.129	4.33	S_H	1.0	n/a	n/a	1.0	1.429	Sem/Sem_run-02/stereo_1SH10A0.wav	1.0	1	1.179
20.465	3.872	S_L	1.0	n/a	n/a	2.0	2.063	Sem/Sem_run-02/stereo_2SL61A0.wav	2.0	0	1.8130000000000002
24.351	3.885	S_L	1.0	n/a	n/a	1.0	1.638	Sem/Sem_run-02/stereo_1SL23A0.wav	1.0	1	1.388
28.238000000000003	4.2	S_U	2.0	n/a	n/a	2.0	1.535	Sem/Sem_run-02/stereo_1SU42A0.wav	2.0	1	1.285
32.441	3.321	S_L	1.0	n/a	n/a	1.0	1.364	Sem/Sem_run-02/stereo_1SL16A0.wav	1.0	1	1.114
35.777	3.59	S_C	1.0	n/a	n/a	1.0	0.109	Sem/Sem_run-02/ContS26.wav	1.0	1	0.8590000000000001
39.38	4.4	S_H	1.0	n/a	n/a	1.0	1.3869999999999998	Sem/Sem_run-02/stereo_2SH60A0.wav	1.0	1	1.1369999999999998
43.783	4.311	S_L	1.0	n/a	n/a	2.0	2.004	Sem/Sem_run-02/stereo_2SL75A0.wav	2.0	0	1.754
48.103	3.912	S_H	1.0	n/a	n/a	1.0	1.44	Sem/Sem_run-02/stereo_2SH59A0.wav	1.0	1	1.19
52.023	4.4	S_U	2.0	n/a	n/a	2.0	2.077	Sem/Sem_run-02/stereo_2SU84A0.wav	2.0	1	1.827
56.426	3.4210000000000003	S_U	2.0	n/a	n/a	2.0	1.615	Sem/Sem_run-02/stereo_1SU43A0.wav	2.0	1	1.365
59.862	3.8539999999999996	S_C	1.0	1.0	0.679	1.0	0.655	Sem/Sem_run-02/ContS02.wav	1.0	1	0.679
63.731	4.37	S_L	1.0	n/a	n/a	1.0	1.319	Sem/Sem_run-02/stereo_1SL19A0.wav	1.0	1	1.069
68.101	3.862	S_L	1.0	n/a	n/a	1.0	1.295	Sem/Sem_run-02/stereo_1SL18A0.wav	1.0	1	1.045
71.971	4.462	S_C	1.0	1.0	0.685	1.0	1.065	Sem/Sem_run-02/ContS22.wav	1.0	1	0.685
