onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0907	4.2010000000000005	S_U	2.0	n/a	n/a	2.0	1.6580000000000001	Sem/Sem_run-02/stereo_1SU33A0.wav	2.0	1	1.408
5.2947	3.486	S_U	2.0	n/a	n/a	2.0	1.9369999999999998	Sem/Sem_run-02/stereo_2SU85A0.wav	2.0	1	1.687
8.7817	3.8539999999999996	S_H	1.0	n/a	n/a	1.0	1.317	Sem/Sem_run-02/stereo_2SH50A0.wav	1.0	1	1.067
12.6503	3.454	S_C	1.0	n/a	n/a	1.0	1.686	Sem/Sem_run-02/ContS08.wav	1.0	1	2.436
16.1195	4.33	S_H	1.0	n/a	n/a	1.0	1.615	Sem/Sem_run-02/stereo_1SH10A0.wav	1.0	1	1.365
20.4559	3.872	S_L	1.0	n/a	n/a	2.0	1.77	Sem/Sem_run-02/stereo_2SL61A0.wav	2.0	0	1.52
24.3421	3.885	S_L	1.0	n/a	n/a	1.0	1.6909999999999998	Sem/Sem_run-02/stereo_1SL23A0.wav	1.0	1	1.4409999999999998
28.2293	4.2	S_U	2.0	n/a	n/a	2.0	1.306	Sem/Sem_run-02/stereo_1SU42A0.wav	2.0	1	1.056
32.4326	3.321	S_L	1.0	n/a	n/a	1.0	1.939	Sem/Sem_run-02/stereo_1SL16A0.wav	1.0	1	1.689
35.7684	3.59	S_C	1.0	n/a	n/a	1.0	1.5719999999999998	Sem/Sem_run-02/ContS26.wav	1.0	1	2.322
39.3711	4.4	S_H	1.0	n/a	n/a	1.0	1.3359999999999999	Sem/Sem_run-02/stereo_2SH60A0.wav	1.0	1	1.086
43.7745	4.311	S_L	1.0	n/a	n/a	2.0	2.291	Sem/Sem_run-02/stereo_2SL75A0.wav	2.0	0	2.041
48.0943	3.912	S_H	1.0	n/a	n/a	1.0	2.2880000000000003	Sem/Sem_run-02/stereo_2SH59A0.wav	1.0	1	2.0380000000000003
52.0138	4.4	S_U	2.0	n/a	n/a	2.0	1.9580000000000002	Sem/Sem_run-02/stereo_2SU84A0.wav	2.0	1	1.708
56.4171	3.4210000000000003	S_U	2.0	n/a	n/a	1.0	1.579	Sem/Sem_run-02/stereo_1SU43A0.wav	1.0	0	1.329
59.8529	3.8539999999999996	S_C	1.0	n/a	n/a	2.0	1.66	Sem/Sem_run-02/ContS02.wav	2.0	0	2.41
63.7217	4.37	S_L	1.0	n/a	n/a	1.0	1.443	Sem/Sem_run-02/stereo_1SL19A0.wav	1.0	1	1.193
68.0927	3.862	S_L	1.0	n/a	n/a	1.0	1.0979999999999999	Sem/Sem_run-02/stereo_1SL18A0.wav	1.0	1	0.8480000000000001
71.9622	4.462	S_C	1.0	n/a	n/a	1.0	1.834	Sem/Sem_run-02/ContS22.wav	1.0	1	2.584
