onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0915	6.895	G_F	2.0	n/a	n/a	2.0	2.247	Gram/Gram_run-01/stereo_2MF57U2.wav	2.0	1	2.997
7.9964	7.175	G_F	2.0	n/a	n/a	2.0	3.75	Gram/Gram_run-01/stereo_1MF15U3.wav	2.0	1	4.5
15.1851	6.5070000000000014	G_G	1.0	2.0	0.445	2.0	3.758	Gram/Gram_run-01/stereo_1MF11G2.wav	2.0	0	2.578
21.7065	6.505	G_C	1.0	n/a	n/a	1.0	1.262	Gram/Gram_run-01/CoM09d.wav	1.0	1	2.012
28.2123	6.9479999999999995	G_F	2.0	n/a	n/a	2.0	4.083	Gram/Gram_run-01/stereo_2MF68U4.wav	2.0	1	3.357
35.1675	5.541	G_P	2.0	n/a	n/a	2.0	3.3760000000000003	Gram/Gram_run-01/stereo_1MP37U3.wav	2.0	1	2.341
40.7217	5.9479999999999995	G_G	1.0	n/a	n/a	1.0	4.096	Gram/Gram_run-01/stereo_2MF50G1.wav	1.0	1	2.0010000000000003
46.6761	6.013	G_F	2.0	n/a	n/a	2.0	3.39	Gram/Gram_run-01/stereo_1MF05U1.wav	2.0	1	2.7880000000000003
52.6972	7.87	G_C	1.0	n/a	n/a	1.0	0.531	Gram/Gram_run-01/CoM01l.wav	1.0	1	1.2810000000000001
60.5705	6.4979999999999976	G_G	1.0	n/a	n/a	1.0	3.855	Gram/Gram_run-01/stereo_1MF23G4.wav	1.0	1	1.674
67.0753	6.184	G_F	2.0	n/a	n/a	2.0	4.595	Gram/Gram_run-01/stereo_2MF55U2.wav	2.0	1	5.345
73.264	6.83	G_C	1.0	n/a	n/a	1.0	2.694	Gram/Gram_run-01/CoM10l.wav	1.0	1	3.444
80.1023	7.505	G_G	1.0	n/a	n/a	1.0	4.54	Gram/Gram_run-01/stereo_2MP96G4.wav	1.0	1	2.1450000000000005
87.6086	7.1370000000000005	G_G	1.0	n/a	n/a	1.0	4.797	Gram/Gram_run-01/stereo_1MP47G4.wav	1.0	1	2.33
94.74799999999999	6.694	G_F	2.0	n/a	n/a	2.0	2.636	Gram/Gram_run-01/stereo_2MF61U3.wav	2.0	1	3.386
101.4529	5.39	G_C	1.0	n/a	n/a	1.0	0.941	Gram/Gram_run-01/CoM01d.wav	1.0	1	1.6909999999999998
106.8569	6.5760000000000005	G_G	1.0	n/a	n/a	1.0	3.826	Gram/Gram_run-01/stereo_1MP35G2.wav	1.0	1	2.822
113.4451	5.3389999999999995	G_F	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_2MF69U4.wav	n/a	0	n/a
118.7989	7.94	G_C	1.0	n/a	n/a	2.0	1.466	Gram/Gram_run-01/CoM08l.wav	2.0	0	2.216
126.7476	6.006	G_P	2.0	n/a	n/a	2.0	4.596	Gram/Gram_run-01/stereo_1MP26U1.wav	2.0	1	2.62
132.7683	8.422	G_F	2.0	n/a	n/a	2.0	3.245	Gram/Gram_run-01/stereo_1MF06U1.wav	2.0	1	2.6499999999999995
141.1919	7.885	G_P	2.0	n/a	n/a	2.0	3.214	Gram/Gram_run-01/stereo_2MP81U2.wav	2.0	1	2.3289999999999997
149.082	6.127000000000002	G_G	1.0	n/a	n/a	1.0	3.639	Gram/Gram_run-01/stereo_2MP83G2.wav	1.0	1	2.5789999999999997
155.2198	5.765	G_C	1.0	n/a	n/a	1.0	1.087	Gram/Gram_run-01/CoM02b.wav	1.0	1	1.837
160.9908	6.706	G_P	2.0	n/a	n/a	2.0	4.795	Gram/Gram_run-01/stereo_2MP93U4.wav	2.0	1	2.3950000000000005
167.7098	6.61	G_P	2.0	n/a	n/a	2.0	4.24	Gram/Gram_run-01/stereo_1MP28U1.wav	2.0	1	2.125000000000001
174.3313	6.63	G_C	1.0	n/a	n/a	1.0	0.8290000000000001	Gram/Gram_run-01/CoM04b.wav	1.0	1	1.5790000000000002
180.9695	5.665	G_P	2.0	n/a	n/a	2.0	4.231	Gram/Gram_run-01/stereo_1MP27U1.wav	2.0	1	2.229
186.6404	7.55	G_G	1.0	n/a	n/a	1.0	4.212	Gram/Gram_run-01/stereo_2MP77G1.wav	1.0	1	2.1129999999999995
194.1961	6.51	G_C	1.0	n/a	n/a	1.0	0.515	Gram/Gram_run-01/CoM03e.wav	1.0	1	1.2650000000000001
200.7177	6.98	G_P	2.0	n/a	n/a	2.0	4.118	Gram/Gram_run-01/stereo_2MP92U4.wav	2.0	1	1.7690000000000001
207.7062	7.047999999999999	G_G	1.0	n/a	n/a	1.0	3.785	Gram/Gram_run-01/stereo_1MF12G2.wav	1.0	1	2.7510000000000003
214.7613	5.574	G_F	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_1MF04U1.wav	n/a	0	n/a
220.3488	5.67	G_C	1.0	n/a	n/a	2.0	0.7340000000000001	Gram/Gram_run-01/CoM07d.wav	2.0	0	1.484
226.0205	6.6160000000000005	G_P	2.0	n/a	n/a	2.0	2.786	Gram/Gram_run-01/stereo_1MP39U3.wav	2.0	1	1.782
232.6421	5.695	G_P	2.0	n/a	n/a	2.0	3.569	Gram/Gram_run-01/stereo_2MP82U2.wav	2.0	1	2.648
238.3464	6.627000000000002	G_F	2.0	n/a	n/a	1.0	3.412	Gram/Gram_run-01/stereo_1MF13U3.wav	1.0	0	4.162
244.9846	7.145	G_C	1.0	n/a	n/a	1.0	1.7169999999999999	Gram/Gram_run-01/CoM08e.wav	1.0	1	2.467
252.1398	6.805	G_G	1.0	n/a	n/a	1.0	3.795	Gram/Gram_run-01/stereo_1MP41G3.wav	1.0	1	2.489
258.9458	7.519	G_P	2.0	n/a	n/a	2.0	3.537	Gram/Gram_run-01/stereo_1MP38U3.wav	2.0	1	2.298
