participant_id	WJ-III_WordID_Raw	WJ-III_WordID_StS	WJ-III_PassComp_Raw	WJ-III_PassComp_StS	WJ-III_ReadFluency_Raw	WJ-III_ReadFluency_StS
sub-5002	13	101	n/a	n/a	n/a	n/a
sub-5003	15	109	n/a	n/a	n/a	n/a
sub-5004	24	121	n/a	n/a	n/a	n/a
sub-5005	39	146	n/a	n/a	n/a	n/a
sub-5006	51	164	n/a	n/a	n/a	n/a
sub-5007	7	94	n/a	n/a	n/a	n/a
sub-5008	27	132	n/a	n/a	n/a	n/a
sub-5009	40	142	n/a	n/a	n/a	n/a
sub-5010	13	107	n/a	n/a	n/a	n/a
sub-5011	n/a	n/a	n/a	n/a	n/a	n/a
sub-5013	33	131	n/a	n/a	n/a	n/a
sub-5015	40	147	n/a	n/a	n/a	n/a
sub-5017	44	146	n/a	n/a	n/a	n/a
sub-5018	n/a	n/a	n/a	n/a	n/a	n/a
sub-5019	n/a	n/a	n/a	n/a	n/a	n/a
sub-5020	14	101	n/a	n/a	n/a	n/a
sub-5021	n/a	n/a	n/a	n/a	n/a	n/a
sub-5022	31	128	n/a	n/a	n/a	n/a
sub-5023	28	129	n/a	n/a	n/a	n/a
sub-5024	23	115	n/a	n/a	n/a	n/a
sub-5025	29	125	n/a	n/a	n/a	n/a
sub-5028	26	120	n/a	n/a	n/a	n/a
sub-5029	25	117	n/a	n/a	n/a	n/a
sub-5030	9	90	n/a	n/a	n/a	n/a
sub-5031	27	121	n/a	n/a	n/a	n/a
sub-5032	28	126	n/a	n/a	n/a	n/a
sub-5033	n/a	n/a	n/a	n/a	n/a	n/a
sub-5034	44	148	n/a	n/a	n/a	n/a
sub-5035	23	118	n/a	n/a	n/a	n/a
sub-5036	26	121	n/a	n/a	n/a	n/a
sub-5037	13	99	n/a	n/a	n/a	n/a
sub-5039	24	118	n/a	n/a	n/a	n/a
sub-5040	20	114	n/a	n/a	n/a	n/a
sub-5042	n/a	n/a	n/a	n/a	n/a	n/a
sub-5043	27	123	n/a	n/a	n/a	n/a
sub-5044	22	116	n/a	n/a	n/a	n/a
sub-5045	23	113	n/a	n/a	n/a	n/a
