onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0934	7.632999999999999	G_P	2.0	n/a	n/a	2.0	3.926	Gram/Gram_run-02/stereo_1MP45U4.wav	2.0	1	1.795
8.7323	7.315	G_F	2.0	n/a	n/a	1.0	3.752	Gram/Gram_run-02/stereo_1MF20U4.wav	1.0	0	3.0419999999999994
16.0543	6.283	G_P	2.0	n/a	n/a	2.0	3.249	Gram/Gram_run-02/stereo_1MP34U2.wav	2.0	1	2.157
22.3421	6.195	G_C	1.0	n/a	n/a	1.0	0.735	Gram/Gram_run-02/CoM06d.wav	1.0	1	1.4849999999999999
28.5465	6.221	G_G	1.0	n/a	n/a	1.0	3.966	Gram/Gram_run-02/stereo_1MF02G1.wav	1.0	1	1.9260000000000002
34.769	5.801	G_F	2.0	n/a	n/a	2.0	2.9360000000000004	Gram/Gram_run-02/stereo_2MF64U3.wav	2.0	1	3.6860000000000004
40.5743	6.78	G_C	1.0	n/a	n/a	1.0	1.224	Gram/Gram_run-02/CoM07l.wav	1.0	1	1.974
47.3625	6.084	G_F	2.0	n/a	n/a	2.0	3.037	Gram/Gram_run-02/stereo_2MF56U2.wav	2.0	1	3.787
53.4512	7.5470000000000015	G_F	2.0	n/a	n/a	1.0	4.667	Gram/Gram_run-02/stereo_1MF21U4.wav	1.0	0	3.9159999999999995
61.0065	6.482	G_G	1.0	n/a	n/a	1.0	4.082	Gram/Gram_run-02/stereo_1MF24G4.wav	1.0	1	1.721
67.4946	6.7810000000000015	G_P	2.0	n/a	n/a	2.0	4.6	Gram/Gram_run-02/stereo_2MP76U1.wav	2.0	1	2.338
74.2828	6.643	G_P	2.0	n/a	n/a	2.0	3.344	Gram/Gram_run-02/stereo_2MP80U2.wav	2.0	1	2.388
80.9376	7.69	G_C	1.0	n/a	n/a	1.0	0.904	Gram/Gram_run-02/CoM06e.wav	1.0	1	1.654
88.639	6.352	G_F	2.0	n/a	n/a	2.0	2.994	Gram/Gram_run-02/stereo_2MF63U3.wav	2.0	1	3.744
94.9947	5.801	G_G	1.0	n/a	n/a	2.0	3.783	Gram/Gram_run-02/stereo_1MF18G3.wav	2.0	0	2.4
100.8001	7.113	G_P	2.0	n/a	n/a	2.0	4.148	Gram/Gram_run-02/stereo_1MP44U4.wav	2.0	1	1.7909999999999995
107.9218	6.78	G_C	1.0	n/a	n/a	1.0	1.625	Gram/Gram_run-02/CoM05b.wav	1.0	1	2.375
114.7101	6.7360000000000015	G_F	2.0	n/a	n/a	2.0	3.139	Gram/Gram_run-02/stereo_2MF58U2.wav	2.0	1	3.889
121.4494	6.089	G_P	2.0	n/a	n/a	1.0	3.27	Gram/Gram_run-02/stereo_2MP87U3.wav	1.0	0	2.058
127.5529	7.6370000000000005	G_P	2.0	n/a	n/a	2.0	4.665	Gram/Gram_run-02/stereo_2MP73U1.wav	2.0	1	2.638
135.1929	7.305	G_C	1.0	n/a	n/a	1.0	1.232	Gram/Gram_run-02/CoM02l.wav	1.0	1	1.982
142.4994	5.983	G_G	1.0	n/a	n/a	2.0	3.14	Gram/Gram_run-02/stereo_1MP42G3.wav	2.0	0	2.218
148.4871	5.36	G_P	2.0	n/a	n/a	1.0	3.395	Gram/Gram_run-02/stereo_1MP32U2.wav	1.0	0	2.389
153.8576	7.145	G_C	1.0	n/a	n/a	1.0	1.348	Gram/Gram_run-02/CoM09e.wav	1.0	1	2.098
161.0128	6.28	G_F	2.0	n/a	n/a	1.0	3.624	Gram/Gram_run-02/stereo_1MF19U4.wav	1.0	0	2.938
167.3005	6.63	G_C	1.0	n/a	n/a	1.0	0.622	Gram/Gram_run-02/CoM07b.wav	1.0	1	1.3719999999999999
173.9386	7.195	G_G	1.0	n/a	n/a	2.0	3.301	Gram/Gram_run-02/stereo_2MP89G3.wav	2.0	0	1.963
181.1437	5.174	G_F	2.0	n/a	n/a	2.0	3.6	Gram/Gram_run-02/stereo_1MF07U2.wav	2.0	1	4.35
186.3308	6.944	G_P	2.0	n/a	n/a	1.0	3.0980000000000003	Gram/Gram_run-02/stereo_2MP88U3.wav	1.0	0	2.0550000000000006
193.2858	6.089	G_G	1.0	n/a	n/a	1.0	3.301	Gram/Gram_run-02/stereo_2MF66G3.wav	1.0	1	1.9270000000000005
199.3896	6.5	G_C	1.0	n/a	n/a	1.0	1.779	Gram/Gram_run-02/CoM01e.wav	1.0	1	2.529
